result/io_traces.ns826.oracleGeneral.zst B-LRU cache size   774142, 2800000 req, miss ratio 0.7774, byte miss ratio 0.7774
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size  1548285, 2800000 req, miss ratio 0.7774, byte miss ratio 0.7774
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1935, 2800000 req, miss ratio 0.7529, byte miss ratio 0.7529
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5806, 2800000 req, miss ratio 0.7481, byte miss ratio 0.7481
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19353, 2800000 req, miss ratio 0.7402, byte miss ratio 0.7402
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size    58060, 2800000 req, miss ratio 0.7366, byte miss ratio 0.7366
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size   193535, 2800000 req, miss ratio 0.7275, byte miss ratio 0.7275
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size   387071, 2800000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size   774142, 2800000 req, miss ratio 0.6994, byte miss ratio 0.6994
result/io_traces.ns826.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1548285, 2800000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size     1935, 2800000 req, miss ratio 0.7513, byte miss ratio 0.7513
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size     5806, 2800000 req, miss ratio 0.7435, byte miss ratio 0.7435
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size    19353, 2800000 req, miss ratio 0.7421, byte miss ratio 0.7421
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size    58060, 2800000 req, miss ratio 0.7388, byte miss ratio 0.7388
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size   193535, 2800000 req, miss ratio 0.7335, byte miss ratio 0.7335
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size   387071, 2800000 req, miss ratio 0.7298, byte miss ratio 0.7298
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size   774142, 2800000 req, miss ratio 0.7140, byte miss ratio 0.7140
result/io_traces.ns826.oracleGeneral.zst TwoQ cache size  1548285, 2800000 req, miss ratio 0.6951, byte miss ratio 0.6951
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size     1935, 2800000 req, miss ratio 0.7515, byte miss ratio 0.7515
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size     5806, 2800000 req, miss ratio 0.7444, byte miss ratio 0.7444
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size    19353, 2800000 req, miss ratio 0.7399, byte miss ratio 0.7399
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size    58060, 2800000 req, miss ratio 0.7366, byte miss ratio 0.7366
