result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size    61857, 19600000 req, miss ratio 0.2483, byte miss ratio 0.2483
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size   206190, 19600000 req, miss ratio 0.2109, byte miss ratio 0.2109
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size   412381, 19600000 req, miss ratio 0.1901, byte miss ratio 0.1901
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size   824762, 19600000 req, miss ratio 0.1557, byte miss ratio 0.1557
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size  1649524, 19600000 req, miss ratio 0.1106, byte miss ratio 0.1106
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2061, 19600000 req, miss ratio 0.6585, byte miss ratio 0.6585
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6185, 19600000 req, miss ratio 0.5912, byte miss ratio 0.5912
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20619, 19600000 req, miss ratio 0.4415, byte miss ratio 0.4415
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    61857, 19600000 req, miss ratio 0.2691, byte miss ratio 0.2691
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   206190, 19600000 req, miss ratio 0.2415, byte miss ratio 0.2415
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   412381, 19600000 req, miss ratio 0.2210, byte miss ratio 0.2210
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   824762, 19600000 req, miss ratio 0.1581, byte miss ratio 0.1581
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1649524, 19600000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2061, 19600000 req, miss ratio 0.6229, byte miss ratio 0.6229
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6185, 19600000 req, miss ratio 0.5547, byte miss ratio 0.5547
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20619, 19600000 req, miss ratio 0.4388, byte miss ratio 0.4388
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    61857, 19600000 req, miss ratio 0.2680, byte miss ratio 0.2680
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   206190, 19600000 req, miss ratio 0.2202, byte miss ratio 0.2202
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   412381, 19600000 req, miss ratio 0.2052, byte miss ratio 0.2052
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   824762, 19600000 req, miss ratio 0.1571, byte miss ratio 0.1571
result/io_traces.ns205.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1649524, 19600000 req, miss ratio 0.1090, byte miss ratio 0.1090
