result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size   710305, 51400000 req, miss ratio 0.6563, byte miss ratio 0.6563
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2367683, 51400000 req, miss ratio 0.5873, byte miss ratio 0.5873
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4735367, 51400000 req, miss ratio 0.5374, byte miss ratio 0.5374
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size  9470734, 51400000 req, miss ratio 0.4960, byte miss ratio 0.4960
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size 18941469, 51400000 req, miss ratio 0.4627, byte miss ratio 0.4627
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size    23676, 51400000 req, miss ratio 0.8298, byte miss ratio 0.8298
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size    71030, 51400000 req, miss ratio 0.7979, byte miss ratio 0.7979
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size   236768, 51400000 req, miss ratio 0.7438, byte miss ratio 0.7438
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size   710305, 51400000 req, miss ratio 0.6488, byte miss ratio 0.6488
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size  2367683, 51400000 req, miss ratio 0.5792, byte miss ratio 0.5792
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size  4735367, 51400000 req, miss ratio 0.5292, byte miss ratio 0.5292
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size  9470734, 51400000 req, miss ratio 0.4903, byte miss ratio 0.4903
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d cache size 18941469, 51400000 req, miss ratio 0.4634, byte miss ratio 0.4634
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size    23676, 51400000 req, miss ratio 0.8255, byte miss ratio 0.8255
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size    71030, 51400000 req, miss ratio 0.7946, byte miss ratio 0.7946
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size   236768, 51400000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size   710305, 51400000 req, miss ratio 0.6440, byte miss ratio 0.6440
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size  2367683, 51400000 req, miss ratio 0.5761, byte miss ratio 0.5761
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size  4735367, 51400000 req, miss ratio 0.5292, byte miss ratio 0.5292
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size  9470734, 51400000 req, miss ratio 0.4903, byte miss ratio 0.4903
result/io_traces.ns207.oracleGeneral.zst S3FIFO cache size 18941469, 51400000 req, miss ratio 0.4634, byte miss ratio 0.4634
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23676, 51400000 req, miss ratio 0.8389, byte miss ratio 0.8389
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71030, 51400000 req, miss ratio 0.8075, byte miss ratio 0.8075
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   236768, 51400000 req, miss ratio 0.7379, byte miss ratio 0.7379
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   710305, 51400000 req, miss ratio 0.6794, byte miss ratio 0.6794
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2367683, 51400000 req, miss ratio 0.6208, byte miss ratio 0.6208
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4735367, 51400000 req, miss ratio 0.5809, byte miss ratio 0.5809
