result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    71238, 1092185 req, miss ratio 0.7178, byte miss ratio 0.7178
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   142476, 1092185 req, miss ratio 0.7001, byte miss ratio 0.7001
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   284952, 1092185 req, miss ratio 0.6781, byte miss ratio 0.6781
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   569904, 1092185 req, miss ratio 0.6568, byte miss ratio 0.6568
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      712, 1092185 req, miss ratio 0.7752, byte miss ratio 0.7752
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2137, 1092185 req, miss ratio 0.7567, byte miss ratio 0.7567
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     7123, 1092185 req, miss ratio 0.7338, byte miss ratio 0.7338
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    21371, 1092185 req, miss ratio 0.7115, byte miss ratio 0.7115
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    71238, 1092185 req, miss ratio 0.6894, byte miss ratio 0.6894
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   142476, 1092185 req, miss ratio 0.6747, byte miss ratio 0.6747
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   284952, 1092185 req, miss ratio 0.6611, byte miss ratio 0.6611
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   569904, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
