result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size    17436, 1596462 req, miss ratio 0.1404, byte miss ratio 0.1404
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size    34873, 1596462 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size    69747, 1596462 req, miss ratio 0.1165, byte miss ratio 0.1165
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size   139494, 1596462 req, miss ratio 0.1101, byte miss ratio 0.1101
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      174, 1596462 req, miss ratio 0.4335, byte miss ratio 0.4335
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      523, 1596462 req, miss ratio 0.3404, byte miss ratio 0.3404
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1743, 1596462 req, miss ratio 0.2469, byte miss ratio 0.2469
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5231, 1596462 req, miss ratio 0.1797, byte miss ratio 0.1797
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    17436, 1596462 req, miss ratio 0.1444, byte miss ratio 0.1444
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    34873, 1596462 req, miss ratio 0.1337, byte miss ratio 0.1337
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    69747, 1596462 req, miss ratio 0.1246, byte miss ratio 0.1246
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   139494, 1596462 req, miss ratio 0.1113, byte miss ratio 0.1113
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      174, 1596462 req, miss ratio 0.2751, byte miss ratio 0.2751
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      523, 1596462 req, miss ratio 0.2213, byte miss ratio 0.2213
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1743, 1596462 req, miss ratio 0.1972, byte miss ratio 0.1972
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5231, 1596462 req, miss ratio 0.1755, byte miss ratio 0.1755
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    17436, 1596462 req, miss ratio 0.1455, byte miss ratio 0.1455
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    34873, 1596462 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    69747, 1596462 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn1_nyc.ns35.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   139494, 1596462 req, miss ratio 0.1133, byte miss ratio 0.1133
