result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size    18424, 1663924 req, miss ratio 0.1231, byte miss ratio 0.1231
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size    36848, 1663924 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       46, 1663924 req, miss ratio 0.9812, byte miss ratio 0.9812
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      138, 1663924 req, miss ratio 0.9734, byte miss ratio 0.9734
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      460, 1663924 req, miss ratio 0.9556, byte miss ratio 0.9556
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1381, 1663924 req, miss ratio 0.8840, byte miss ratio 0.8840
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4606, 1663924 req, miss ratio 0.6001, byte miss ratio 0.6001
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     9212, 1663924 req, miss ratio 0.3434, byte miss ratio 0.3434
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    18424, 1663924 req, miss ratio 0.1323, byte miss ratio 0.1323
result/cdn1_nyc.ns140.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    36848, 1663924 req, miss ratio 0.0403, byte miss ratio 0.0403
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size       46, 1663924 req, miss ratio 0.9754, byte miss ratio 0.9754
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size      138, 1663924 req, miss ratio 0.9629, byte miss ratio 0.9629
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size      460, 1663924 req, miss ratio 0.9221, byte miss ratio 0.9221
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size     1381, 1663924 req, miss ratio 0.8350, byte miss ratio 0.8350
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size     4606, 1663924 req, miss ratio 0.5471, byte miss ratio 0.5471
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size     9212, 1663924 req, miss ratio 0.2977, byte miss ratio 0.2977
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size    18424, 1663924 req, miss ratio 0.1041, byte miss ratio 0.1041
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d cache size    36848, 1663924 req, miss ratio 0.0311, byte miss ratio 0.0311
