result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1540, 2730177 req, miss ratio 0.2401, byte miss ratio 0.2401
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5133, 2730177 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    10267, 2730177 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    20535, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    41071, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size       51, 2730177 req, miss ratio 0.7563, byte miss ratio 0.7563
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size      154, 2730177 req, miss ratio 0.6807, byte miss ratio 0.6807
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size      513, 2730177 req, miss ratio 0.5566, byte miss ratio 0.5566
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size     1540, 2730177 req, miss ratio 0.2223, byte miss ratio 0.2223
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size     5133, 2730177 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size    10267, 2730177 req, miss ratio 0.0241, byte miss ratio 0.0241
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size    20535, 2730177 req, miss ratio 0.0204, byte miss ratio 0.0204
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO-d cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size       51, 2730177 req, miss ratio 0.7552, byte miss ratio 0.7552
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size      154, 2730177 req, miss ratio 0.6665, byte miss ratio 0.6665
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size      513, 2730177 req, miss ratio 0.4814, byte miss ratio 0.4814
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size     1540, 2730177 req, miss ratio 0.1927, byte miss ratio 0.1927
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size     5133, 2730177 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size    10267, 2730177 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size    20535, 2730177 req, miss ratio 0.0207, byte miss ratio 0.0207
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S3FIFO cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       51, 2730177 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      154, 2730177 req, miss ratio 0.6757, byte miss ratio 0.6757
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      513, 2730177 req, miss ratio 0.4635, byte miss ratio 0.4635
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1540, 2730177 req, miss ratio 0.2509, byte miss ratio 0.2509
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5133, 2730177 req, miss ratio 0.0705, byte miss ratio 0.0705
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    10267, 2730177 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    20535, 2730177 req, miss ratio 0.0338, byte miss ratio 0.0338
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    41071, 2730177 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       51, 2730177 req, miss ratio 0.7612, byte miss ratio 0.7612
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      154, 2730177 req, miss ratio 0.6621, byte miss ratio 0.6621
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      513, 2730177 req, miss ratio 0.4698, byte miss ratio 0.4698
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1540, 2730177 req, miss ratio 0.1987, byte miss ratio 0.1987
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5133, 2730177 req, miss ratio 0.1239, byte miss ratio 0.1239
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    10267, 2730177 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    20535, 2730177 req, miss ratio 0.0345, byte miss ratio 0.0345
result/cdn1_sjc.ns929.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    41071, 2730177 req, miss ratio 0.0224, byte miss ratio 0.0224
