result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size    41719, 7178973 req, miss ratio 0.4081, byte miss ratio 0.4081
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size   139064, 7178973 req, miss ratio 0.3440, byte miss ratio 0.3440
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size   278128, 7178973 req, miss ratio 0.3011, byte miss ratio 0.3011
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size   556257, 7178973 req, miss ratio 0.2554, byte miss ratio 0.2554
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size  1112514, 7178973 req, miss ratio 0.2080, byte miss ratio 0.2080
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1390, 7178973 req, miss ratio 0.5911, byte miss ratio 0.5911
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4171, 7178973 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13906, 7178973 req, miss ratio 0.4626, byte miss ratio 0.4626
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    41719, 7178973 req, miss ratio 0.4110, byte miss ratio 0.4110
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   139064, 7178973 req, miss ratio 0.3394, byte miss ratio 0.3394
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   278128, 7178973 req, miss ratio 0.2901, byte miss ratio 0.2901
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   556257, 7178973 req, miss ratio 0.2398, byte miss ratio 0.2398
result/cdn1_lax.ns87.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1112514, 7178973 req, miss ratio 0.1980, byte miss ratio 0.1980
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size     1390, 7178973 req, miss ratio 0.5633, byte miss ratio 0.5633
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size     4171, 7178973 req, miss ratio 0.5047, byte miss ratio 0.5047
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size    13906, 7178973 req, miss ratio 0.4544, byte miss ratio 0.4544
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size    41719, 7178973 req, miss ratio 0.4043, byte miss ratio 0.4043
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size   139064, 7178973 req, miss ratio 0.3336, byte miss ratio 0.3336
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size   278128, 7178973 req, miss ratio 0.2869, byte miss ratio 0.2869
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size   556257, 7178973 req, miss ratio 0.2394, byte miss ratio 0.2394
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO cache size  1112514, 7178973 req, miss ratio 0.1993, byte miss ratio 0.1993
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size     1390, 7178973 req, miss ratio 0.5648, byte miss ratio 0.5648
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size     4171, 7178973 req, miss ratio 0.5049, byte miss ratio 0.5049
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size    13906, 7178973 req, miss ratio 0.4542, byte miss ratio 0.4542
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size    41719, 7178973 req, miss ratio 0.4043, byte miss ratio 0.4043
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size   139064, 7178973 req, miss ratio 0.3341, byte miss ratio 0.3341
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size   278128, 7178973 req, miss ratio 0.2874, byte miss ratio 0.2874
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size   556257, 7178973 req, miss ratio 0.2394, byte miss ratio 0.2394
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d cache size  1112514, 7178973 req, miss ratio 0.1993, byte miss ratio 0.1993
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1390, 7178973 req, miss ratio 0.5685, byte miss ratio 0.5685
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4171, 7178973 req, miss ratio 0.5180, byte miss ratio 0.5180
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13906, 7178973 req, miss ratio 0.4636, byte miss ratio 0.4636
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    41719, 7178973 req, miss ratio 0.4184, byte miss ratio 0.4184
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   139064, 7178973 req, miss ratio 0.3510, byte miss ratio 0.3510
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   278128, 7178973 req, miss ratio 0.3015, byte miss ratio 0.3015
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   556257, 7178973 req, miss ratio 0.2497, byte miss ratio 0.2497
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1112514, 7178973 req, miss ratio 0.2005, byte miss ratio 0.2005
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1390, 7178973 req, miss ratio 0.5614, byte miss ratio 0.5614
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4171, 7178973 req, miss ratio 0.5061, byte miss ratio 0.5061
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13906, 7178973 req, miss ratio 0.4590, byte miss ratio 0.4590
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    41719, 7178973 req, miss ratio 0.4128, byte miss ratio 0.4128
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   139064, 7178973 req, miss ratio 0.3474, byte miss ratio 0.3474
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   278128, 7178973 req, miss ratio 0.3005, byte miss ratio 0.3005
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   556257, 7178973 req, miss ratio 0.2487, byte miss ratio 0.2487
result/cdn1_lax.ns87.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1112514, 7178973 req, miss ratio 0.2043, byte miss ratio 0.2043
