result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size  2230847, 4094352 req, miss ratio 0.6859, byte miss ratio 0.6859
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size     2788, 4094352 req, miss ratio 0.9729, byte miss ratio 0.9729
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size     8365, 4094352 req, miss ratio 0.9684, byte miss ratio 0.9684
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size    27885, 4094352 req, miss ratio 0.9536, byte miss ratio 0.9536
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size    83656, 4094352 req, miss ratio 0.9156, byte miss ratio 0.9156
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size   278855, 4094352 req, miss ratio 0.8409, byte miss ratio 0.8409
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size   557711, 4094352 req, miss ratio 0.7904, byte miss ratio 0.7904
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size  1115423, 4094352 req, miss ratio 0.7331, byte miss ratio 0.7331
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO-d cache size  2230847, 4094352 req, miss ratio 0.6859, byte miss ratio 0.6859
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2788, 4094352 req, miss ratio 0.9748, byte miss ratio 0.9748
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     8365, 4094352 req, miss ratio 0.9722, byte miss ratio 0.9722
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    27885, 4094352 req, miss ratio 0.9589, byte miss ratio 0.9589
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    83656, 4094352 req, miss ratio 0.9278, byte miss ratio 0.9278
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   278855, 4094352 req, miss ratio 0.8620, byte miss ratio 0.8620
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   557711, 4094352 req, miss ratio 0.8125, byte miss ratio 0.8125
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1115423, 4094352 req, miss ratio 0.7448, byte miss ratio 0.7448
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  2230847, 4094352 req, miss ratio 0.6897, byte miss ratio 0.6897
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2788, 4094352 req, miss ratio 0.9746, byte miss ratio 0.9746
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     8365, 4094352 req, miss ratio 0.9723, byte miss ratio 0.9723
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    27885, 4094352 req, miss ratio 0.9590, byte miss ratio 0.9590
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    83656, 4094352 req, miss ratio 0.9252, byte miss ratio 0.9252
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   278855, 4094352 req, miss ratio 0.8685, byte miss ratio 0.8685
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   557711, 4094352 req, miss ratio 0.8199, byte miss ratio 0.8199
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1115423, 4094352 req, miss ratio 0.7511, byte miss ratio 0.7511
result/cdn1_sjc.ns521.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  2230847, 4094352 req, miss ratio 0.6906, byte miss ratio 0.6906
