result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size   872999, 2263900 req, miss ratio 0.4865, byte miss ratio 0.4865
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1091, 2263900 req, miss ratio 0.9810, byte miss ratio 0.9810
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3273, 2263900 req, miss ratio 0.9576, byte miss ratio 0.9576
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    10912, 2263900 req, miss ratio 0.9023, byte miss ratio 0.9023
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    32737, 2263900 req, miss ratio 0.8501, byte miss ratio 0.8501
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   109124, 2263900 req, miss ratio 0.7085, byte miss ratio 0.7085
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   218249, 2263900 req, miss ratio 0.6417, byte miss ratio 0.6417
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   436499, 2263900 req, miss ratio 0.5792, byte miss ratio 0.5792
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   872999, 2263900 req, miss ratio 0.5054, byte miss ratio 0.5054
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1091, 2263900 req, miss ratio 0.9694, byte miss ratio 0.9694
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3273, 2263900 req, miss ratio 0.9417, byte miss ratio 0.9417
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    10912, 2263900 req, miss ratio 0.8895, byte miss ratio 0.8895
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    32737, 2263900 req, miss ratio 0.8060, byte miss ratio 0.8060
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   109124, 2263900 req, miss ratio 0.6975, byte miss ratio 0.6975
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   218249, 2263900 req, miss ratio 0.6442, byte miss ratio 0.6442
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   436499, 2263900 req, miss ratio 0.5667, byte miss ratio 0.5667
result/cdn1_lax.ns183.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   872999, 2263900 req, miss ratio 0.4983, byte miss ratio 0.4983
