result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size     2862, 7329618 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size     5724, 7329618 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 7329618 req, miss ratio 0.9003, byte miss ratio 0.9003
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       21, 7329618 req, miss ratio 0.8104, byte miss ratio 0.8104
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       71, 7329618 req, miss ratio 0.6462, byte miss ratio 0.6462
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      214, 7329618 req, miss ratio 0.3790, byte miss ratio 0.3790
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      715, 7329618 req, miss ratio 0.1446, byte miss ratio 0.1446
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1431, 7329618 req, miss ratio 0.0528, byte miss ratio 0.0528
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2862, 7329618 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5724, 7329618 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 7329618 req, miss ratio 0.8222, byte miss ratio 0.8222
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size       21, 7329618 req, miss ratio 0.6837, byte miss ratio 0.6837
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size       71, 7329618 req, miss ratio 0.5133, byte miss ratio 0.5133
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size      214, 7329618 req, miss ratio 0.3115, byte miss ratio 0.3115
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size      715, 7329618 req, miss ratio 0.1195, byte miss ratio 0.1195
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1431, 7329618 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2862, 7329618 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns546.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
