result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size       75, 35158448 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size       75, 35158448 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       75, 35158448 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      227, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      757, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       75, 35158448 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      227, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      757, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
