result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size    11547, 2347655 req, miss ratio 0.5212, byte miss ratio 0.5212
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size    34641, 2347655 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size   115472, 2347655 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size   230945, 2347655 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size   461891, 2347655 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size   923782, 2347655 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size     1154, 2347655 req, miss ratio 0.7209, byte miss ratio 0.7209
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size     3464, 2347655 req, miss ratio 0.6416, byte miss ratio 0.6416
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size    11547, 2347655 req, miss ratio 0.5063, byte miss ratio 0.5063
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size    34641, 2347655 req, miss ratio 0.4975, byte miss ratio 0.4975
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size   115472, 2347655 req, miss ratio 0.4934, byte miss ratio 0.4934
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size   230945, 2347655 req, miss ratio 0.4927, byte miss ratio 0.4927
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size   461891, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size     1154, 2347655 req, miss ratio 0.7175, byte miss ratio 0.7175
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size     3464, 2347655 req, miss ratio 0.6408, byte miss ratio 0.6408
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size    11547, 2347655 req, miss ratio 0.5063, byte miss ratio 0.5063
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size    34641, 2347655 req, miss ratio 0.4975, byte miss ratio 0.4975
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size   115472, 2347655 req, miss ratio 0.4934, byte miss ratio 0.4934
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size   230945, 2347655 req, miss ratio 0.4927, byte miss ratio 0.4927
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size   461891, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1154, 2347655 req, miss ratio 0.7231, byte miss ratio 0.7231
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3464, 2347655 req, miss ratio 0.6408, byte miss ratio 0.6408
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11547, 2347655 req, miss ratio 0.5111, byte miss ratio 0.5111
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34641, 2347655 req, miss ratio 0.4972, byte miss ratio 0.4972
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   115472, 2347655 req, miss ratio 0.4940, byte miss ratio 0.4940
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   230945, 2347655 req, miss ratio 0.4938, byte miss ratio 0.4938
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   461891, 2347655 req, miss ratio 0.4945, byte miss ratio 0.4945
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   923782, 2347655 req, miss ratio 0.4929, byte miss ratio 0.4929
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1154, 2347655 req, miss ratio 0.7229, byte miss ratio 0.7229
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3464, 2347655 req, miss ratio 0.6480, byte miss ratio 0.6480
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11547, 2347655 req, miss ratio 0.5163, byte miss ratio 0.5163
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34641, 2347655 req, miss ratio 0.4978, byte miss ratio 0.4978
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   115472, 2347655 req, miss ratio 0.4964, byte miss ratio 0.4964
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   230945, 2347655 req, miss ratio 0.4980, byte miss ratio 0.4980
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   461891, 2347655 req, miss ratio 0.4990, byte miss ratio 0.4990
result/cdn2_allcolo.ns3815.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   923782, 2347655 req, miss ratio 0.4926, byte miss ratio 0.4926
