result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1983, 4893350 req, miss ratio 0.5775, byte miss ratio 0.5775
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6612, 4893350 req, miss ratio 0.4643, byte miss ratio 0.4643
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19837, 4893350 req, miss ratio 0.3570, byte miss ratio 0.3570
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    66124, 4893350 req, miss ratio 0.2513, byte miss ratio 0.2513
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   132249, 4893350 req, miss ratio 0.2047, byte miss ratio 0.2047
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   264498, 4893350 req, miss ratio 0.1674, byte miss ratio 0.1674
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   528997, 4893350 req, miss ratio 0.1401, byte miss ratio 0.1401
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      661, 4893350 req, miss ratio 0.6682, byte miss ratio 0.6682
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1983, 4893350 req, miss ratio 0.5834, byte miss ratio 0.5834
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6612, 4893350 req, miss ratio 0.4654, byte miss ratio 0.4654
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19837, 4893350 req, miss ratio 0.3551, byte miss ratio 0.3551
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    66124, 4893350 req, miss ratio 0.2495, byte miss ratio 0.2495
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   132249, 4893350 req, miss ratio 0.2104, byte miss ratio 0.2104
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   264498, 4893350 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   528997, 4893350 req, miss ratio 0.1431, byte miss ratio 0.1431
