result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      455, 3909901 req, miss ratio 0.1202, byte miss ratio 0.1202
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1367, 3909901 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4557, 3909901 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9114, 3909901 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18229, 3909901 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36458, 3909901 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size       45, 3909901 req, miss ratio 0.4540, byte miss ratio 0.4540
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size      136, 3909901 req, miss ratio 0.2366, byte miss ratio 0.2366
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size      455, 3909901 req, miss ratio 0.0986, byte miss ratio 0.0986
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size     1367, 3909901 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size     4557, 3909901 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size     9114, 3909901 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size       45, 3909901 req, miss ratio 0.3846, byte miss ratio 0.3846
