result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size    95064, 56158071 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size   190129, 56158071 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size      475, 56158071 req, miss ratio 0.2436, byte miss ratio 0.2436
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size     1425, 56158071 req, miss ratio 0.1676, byte miss ratio 0.1676
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size     4753, 56158071 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size    14259, 56158071 req, miss ratio 0.0526, byte miss ratio 0.0526
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size    47532, 56158071 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size    95064, 56158071 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size   190129, 56158071 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-d cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      475, 56158071 req, miss ratio 0.2121, byte miss ratio 0.2121
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1425, 56158071 req, miss ratio 0.1462, byte miss ratio 0.1462
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4753, 56158071 req, miss ratio 0.0873, byte miss ratio 0.0873
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14259, 56158071 req, miss ratio 0.0482, byte miss ratio 0.0482
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    47532, 56158071 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    95064, 56158071 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   190129, 56158071 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   380259, 56158071 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      475, 56158071 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1425, 56158071 req, miss ratio 0.1479, byte miss ratio 0.1479
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4753, 56158071 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14259, 56158071 req, miss ratio 0.0489, byte miss ratio 0.0489
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    47532, 56158071 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    95064, 56158071 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   190129, 56158071 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns57.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   380259, 56158071 req, miss ratio 0.0091, byte miss ratio 0.0091
