result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       98, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      294, 1165209 req, miss ratio 0.3661, byte miss ratio 0.3661
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      980, 1165209 req, miss ratio 0.1637, byte miss ratio 0.1637
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1960, 1165209 req, miss ratio 0.0937, byte miss ratio 0.0937
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3921, 1165209 req, miss ratio 0.0375, byte miss ratio 0.0375
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7842, 1165209 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       29, 1165209 req, miss ratio 0.7132, byte miss ratio 0.7132
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       98, 1165209 req, miss ratio 0.5655, byte miss ratio 0.5655
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      294, 1165209 req, miss ratio 0.3527, byte miss ratio 0.3527
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      980, 1165209 req, miss ratio 0.1650, byte miss ratio 0.1650
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1960, 1165209 req, miss ratio 0.0947, byte miss ratio 0.0947
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3921, 1165209 req, miss ratio 0.0379, byte miss ratio 0.0379
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7842, 1165209 req, miss ratio 0.0100, byte miss ratio 0.0100
