result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size     7658, 5707204 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size    15317, 5707204 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size       19, 5707204 req, miss ratio 0.0238, byte miss ratio 0.0238
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size       57, 5707204 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size      191, 5707204 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size      574, 5707204 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1914, 5707204 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3829, 5707204 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7658, 5707204 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns83.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size       19, 5707204 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size       57, 5707204 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size      191, 5707204 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size      574, 5707204 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size     1914, 5707204 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size     3829, 5707204 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size     7658, 5707204 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size       19, 5707204 req, miss ratio 0.0186, byte miss ratio 0.0186
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size       57, 5707204 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size      191, 5707204 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size      574, 5707204 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size     1914, 5707204 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size     3829, 5707204 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size     7658, 5707204 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       19, 5707204 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       57, 5707204 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      191, 5707204 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      574, 5707204 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1914, 5707204 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3829, 5707204 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7658, 5707204 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       19, 5707204 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       57, 5707204 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      191, 5707204 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      574, 5707204 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1914, 5707204 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3829, 5707204 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15317, 5707204 req, miss ratio 0.0035, byte miss ratio 0.0035
