result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size      643, 1377456 req, miss ratio 0.0620, byte miss ratio 0.0620
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size     1929, 1377456 req, miss ratio 0.0587, byte miss ratio 0.0587
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size     6431, 1377456 req, miss ratio 0.0557, byte miss ratio 0.0557
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size    12862, 1377456 req, miss ratio 0.0538, byte miss ratio 0.0538
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size    25724, 1377456 req, miss ratio 0.0517, byte miss ratio 0.0517
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size    51448, 1377456 req, miss ratio 0.0476, byte miss ratio 0.0476
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size       64, 1377456 req, miss ratio 0.1372, byte miss ratio 0.1372
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size      192, 1377456 req, miss ratio 0.0693, byte miss ratio 0.0693
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size      643, 1377456 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size     1929, 1377456 req, miss ratio 0.0569, byte miss ratio 0.0569
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size     6431, 1377456 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size    12862, 1377456 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size    25724, 1377456 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size       64, 1377456 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size      192, 1377456 req, miss ratio 0.0692, byte miss ratio 0.0692
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size      643, 1377456 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size     1929, 1377456 req, miss ratio 0.0569, byte miss ratio 0.0569
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size     6431, 1377456 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size    12862, 1377456 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size    25724, 1377456 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       64, 1377456 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      192, 1377456 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      643, 1377456 req, miss ratio 0.0622, byte miss ratio 0.0622
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1929, 1377456 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6431, 1377456 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12862, 1377456 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    25724, 1377456 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    51448, 1377456 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       64, 1377456 req, miss ratio 0.1351, byte miss ratio 0.1351
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      192, 1377456 req, miss ratio 0.0699, byte miss ratio 0.0699
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      643, 1377456 req, miss ratio 0.0620, byte miss ratio 0.0620
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1929, 1377456 req, miss ratio 0.0591, byte miss ratio 0.0591
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6431, 1377456 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12862, 1377456 req, miss ratio 0.0528, byte miss ratio 0.0528
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    25724, 1377456 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_colo28.ns3628.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    51448, 1377456 req, miss ratio 0.0473, byte miss ratio 0.0473
