result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size    55602, 17796147 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size   111204, 17796147 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size   222409, 17796147 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size      278, 17796147 req, miss ratio 0.8503, byte miss ratio 0.8503
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size      834, 17796147 req, miss ratio 0.6804, byte miss ratio 0.6804
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size     2780, 17796147 req, miss ratio 0.4498, byte miss ratio 0.4498
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size     8340, 17796147 req, miss ratio 0.2649, byte miss ratio 0.2649
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size    27801, 17796147 req, miss ratio 0.1098, byte miss ratio 0.1098
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size    55602, 17796147 req, miss ratio 0.0545, byte miss ratio 0.0545
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size   111204, 17796147 req, miss ratio 0.0262, byte miss ratio 0.0262
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d cache size   222409, 17796147 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      278, 17796147 req, miss ratio 0.7998, byte miss ratio 0.7998
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      834, 17796147 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2780, 17796147 req, miss ratio 0.4455, byte miss ratio 0.4455
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8340, 17796147 req, miss ratio 0.2684, byte miss ratio 0.2684
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27801, 17796147 req, miss ratio 0.1141, byte miss ratio 0.1141
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55602, 17796147 req, miss ratio 0.0570, byte miss ratio 0.0570
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   111204, 17796147 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   222409, 17796147 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      278, 17796147 req, miss ratio 0.8044, byte miss ratio 0.8044
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      834, 17796147 req, miss ratio 0.6549, byte miss ratio 0.6549
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2780, 17796147 req, miss ratio 0.4475, byte miss ratio 0.4475
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8340, 17796147 req, miss ratio 0.2675, byte miss ratio 0.2675
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27801, 17796147 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55602, 17796147 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   111204, 17796147 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns1189.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   222409, 17796147 req, miss ratio 0.0173, byte miss ratio 0.0173
