result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size     1552, 1185248 req, miss ratio 0.2207, byte miss ratio 0.2207
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size     5176, 1185248 req, miss ratio 0.1308, byte miss ratio 0.1308
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size    10353, 1185248 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size    20706, 1185248 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size    41412, 1185248 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       51, 1185248 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1185248 req, miss ratio 0.4477, byte miss ratio 0.4477
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      517, 1185248 req, miss ratio 0.3412, byte miss ratio 0.3412
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1552, 1185248 req, miss ratio 0.2283, byte miss ratio 0.2283
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5176, 1185248 req, miss ratio 0.1597, byte miss ratio 0.1597
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10353, 1185248 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20706, 1185248 req, miss ratio 0.0648, byte miss ratio 0.0648
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    41412, 1185248 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       51, 1185248 req, miss ratio 0.5416, byte miss ratio 0.5416
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1185248 req, miss ratio 0.4405, byte miss ratio 0.4405
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      517, 1185248 req, miss ratio 0.3187, byte miss ratio 0.3187
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1552, 1185248 req, miss ratio 0.2199, byte miss ratio 0.2199
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5176, 1185248 req, miss ratio 0.1317, byte miss ratio 0.1317
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10353, 1185248 req, miss ratio 0.0936, byte miss ratio 0.0936
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20706, 1185248 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_colo28.ns4984.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    41412, 1185248 req, miss ratio 0.0481, byte miss ratio 0.0481
