result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size     3432, 671148881 req, miss ratio 0.0138, byte miss ratio 0.0138
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size    10297, 671148881 req, miss ratio 0.0081, byte miss ratio 0.0081
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size    34325, 671148881 req, miss ratio 0.0036, byte miss ratio 0.0036
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size    68651, 671148881 req, miss ratio 0.0020, byte miss ratio 0.0020
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size   274604, 671148881 req, miss ratio 0.0005, byte miss ratio 0.0005
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      343, 671148881 req, miss ratio 0.0288, byte miss ratio 0.0288
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1029, 671148881 req, miss ratio 0.0222, byte miss ratio 0.0222
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3432, 671148881 req, miss ratio 0.0157, byte miss ratio 0.0157
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    10297, 671148881 req, miss ratio 0.0082, byte miss ratio 0.0082
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    34325, 671148881 req, miss ratio 0.0033, byte miss ratio 0.0033
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    68651, 671148881 req, miss ratio 0.0019, byte miss ratio 0.0019
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   274604, 671148881 req, miss ratio 0.0005, byte miss ratio 0.0005
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      343, 671148881 req, miss ratio 0.0392, byte miss ratio 0.0392
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1029, 671148881 req, miss ratio 0.0277, byte miss ratio 0.0277
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3432, 671148881 req, miss ratio 0.0166, byte miss ratio 0.0166
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    10297, 671148881 req, miss ratio 0.0088, byte miss ratio 0.0088
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    34325, 671148881 req, miss ratio 0.0037, byte miss ratio 0.0037
