result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size      922, 171305316 req, miss ratio 0.3188, byte miss ratio 0.3188
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     2768, 171305316 req, miss ratio 0.2164, byte miss ratio 0.2164
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     9229, 171305316 req, miss ratio 0.1350, byte miss ratio 0.1350
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    27688, 171305316 req, miss ratio 0.0766, byte miss ratio 0.0766
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    92294, 171305316 req, miss ratio 0.0360, byte miss ratio 0.0360
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   184588, 171305316 req, miss ratio 0.0207, byte miss ratio 0.0207
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   369177, 171305316 req, miss ratio 0.0096, byte miss ratio 0.0096
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   738354, 171305316 req, miss ratio 0.0059, byte miss ratio 0.0059
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      922, 171305316 req, miss ratio 0.3189, byte miss ratio 0.3189
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2768, 171305316 req, miss ratio 0.2474, byte miss ratio 0.2474
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     9229, 171305316 req, miss ratio 0.1736, byte miss ratio 0.1736
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    27688, 171305316 req, miss ratio 0.1062, byte miss ratio 0.1062
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    92294, 171305316 req, miss ratio 0.0483, byte miss ratio 0.0483
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   184588, 171305316 req, miss ratio 0.0226, byte miss ratio 0.0226
