result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size     1007, 29422879 req, miss ratio 0.8245, byte miss ratio 0.8245
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size     3021, 29422879 req, miss ratio 0.7054, byte miss ratio 0.7054
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size    10071, 29422879 req, miss ratio 0.5166, byte miss ratio 0.5166
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size    30214, 29422879 req, miss ratio 0.3447, byte miss ratio 0.3447
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size   100716, 29422879 req, miss ratio 0.1761, byte miss ratio 0.1761
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size   201432, 29422879 req, miss ratio 0.1007, byte miss ratio 0.1007
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size   402864, 29422879 req, miss ratio 0.0551, byte miss ratio 0.0551
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRB cache size   805728, 29422879 req, miss ratio 0.0358, byte miss ratio 0.0358
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1007, 29422879 req, miss ratio 0.8485, byte miss ratio 0.8485
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3021, 29422879 req, miss ratio 0.7528, byte miss ratio 0.7528
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    10071, 29422879 req, miss ratio 0.5602, byte miss ratio 0.5602
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    30214, 29422879 req, miss ratio 0.3732, byte miss ratio 0.3732
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   100716, 29422879 req, miss ratio 0.2025, byte miss ratio 0.2025
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   201432, 29422879 req, miss ratio 0.1213, byte miss ratio 0.1213
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   402864, 29422879 req, miss ratio 0.0633, byte miss ratio 0.0633
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   805728, 29422879 req, miss ratio 0.0406, byte miss ratio 0.0406
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1007, 29422879 req, miss ratio 0.8424, byte miss ratio 0.8424
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3021, 29422879 req, miss ratio 0.7492, byte miss ratio 0.7492
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    10071, 29422879 req, miss ratio 0.5639, byte miss ratio 0.5639
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    30214, 29422879 req, miss ratio 0.3508, byte miss ratio 0.3508
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   100716, 29422879 req, miss ratio 0.1839, byte miss ratio 0.1839
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   201432, 29422879 req, miss ratio 0.1063, byte miss ratio 0.1063
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   402864, 29422879 req, miss ratio 0.0541, byte miss ratio 0.0541
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   805728, 29422879 req, miss ratio 0.0353, byte miss ratio 0.0353
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1007, 29422879 req, miss ratio 0.8289, byte miss ratio 0.8289
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size     3021, 29422879 req, miss ratio 0.7229, byte miss ratio 0.7229
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size    10071, 29422879 req, miss ratio 0.5305, byte miss ratio 0.5305
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size    30214, 29422879 req, miss ratio 0.3559, byte miss ratio 0.3559
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size   100716, 29422879 req, miss ratio 0.1898, byte miss ratio 0.1898
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size   201432, 29422879 req, miss ratio 0.1138, byte miss ratio 0.1138
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size   402864, 29422879 req, miss ratio 0.0612, byte miss ratio 0.0612
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst TwoQ cache size   805728, 29422879 req, miss ratio 0.0436, byte miss ratio 0.0436
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1007, 29422879 req, miss ratio 0.8517, byte miss ratio 0.8517
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size     3021, 29422879 req, miss ratio 0.7614, byte miss ratio 0.7614
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size    10071, 29422879 req, miss ratio 0.5381, byte miss ratio 0.5381
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size    30214, 29422879 req, miss ratio 0.3579, byte miss ratio 0.3579
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size   100716, 29422879 req, miss ratio 0.1960, byte miss ratio 0.1960
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size   201432, 29422879 req, miss ratio 0.1242, byte miss ratio 0.1242
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size   402864, 29422879 req, miss ratio 0.0716, byte miss ratio 0.0716
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst B-LRU cache size   805728, 29422879 req, miss ratio 0.0595, byte miss ratio 0.0595
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1007, 29422879 req, miss ratio 0.8265, byte miss ratio 0.8265
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     3021, 29422879 req, miss ratio 0.7059, byte miss ratio 0.7059
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    10071, 29422879 req, miss ratio 0.5266, byte miss ratio 0.5266
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    30214, 29422879 req, miss ratio 0.3557, byte miss ratio 0.3557
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   100716, 29422879 req, miss ratio 0.1814, byte miss ratio 0.1814
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   201432, 29422879 req, miss ratio 0.1027, byte miss ratio 0.1027
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   402864, 29422879 req, miss ratio 0.0522, byte miss ratio 0.0522
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   805728, 29422879 req, miss ratio 0.0355, byte miss ratio 0.0355
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1007, 29422879 req, miss ratio 0.8282, byte miss ratio 0.8282
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     3021, 29422879 req, miss ratio 0.7147, byte miss ratio 0.7147
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    10071, 29422879 req, miss ratio 0.5457, byte miss ratio 0.5457
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    30214, 29422879 req, miss ratio 0.3464, byte miss ratio 0.3464
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   100716, 29422879 req, miss ratio 0.1830, byte miss ratio 0.1830
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   201432, 29422879 req, miss ratio 0.1037, byte miss ratio 0.1037
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   402864, 29422879 req, miss ratio 0.0526, byte miss ratio 0.0526
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   805728, 29422879 req, miss ratio 0.0355, byte miss ratio 0.0355
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1007, 29422879 req, miss ratio 0.8593, byte miss ratio 0.8593
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3021, 29422879 req, miss ratio 0.7685, byte miss ratio 0.7685
