result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   930163, 302534839 req, miss ratio 0.0388, byte miss ratio 0.0388
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1860326, 302534839 req, miss ratio 0.0348, byte miss ratio 0.0348
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3720653, 302534839 req, miss ratio 0.0323, byte miss ratio 0.0323
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     9301, 302534839 req, miss ratio 0.1563, byte miss ratio 0.1563
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    27904, 302534839 req, miss ratio 0.1036, byte miss ratio 0.1036
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    93016, 302534839 req, miss ratio 0.0694, byte miss ratio 0.0694
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   279048, 302534839 req, miss ratio 0.0511, byte miss ratio 0.0511
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   930163, 302534839 req, miss ratio 0.0388, byte miss ratio 0.0388
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1860326, 302534839 req, miss ratio 0.0348, byte miss ratio 0.0348
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3720653, 302534839 req, miss ratio 0.0323, byte miss ratio 0.0323
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     9301, 302534839 req, miss ratio 0.1684, byte miss ratio 0.1684
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    27904, 302534839 req, miss ratio 0.1629, byte miss ratio 0.1629
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    93016, 302534839 req, miss ratio 0.0822, byte miss ratio 0.0822
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   279048, 302534839 req, miss ratio 0.0592, byte miss ratio 0.0592
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   930163, 302534839 req, miss ratio 0.0441, byte miss ratio 0.0441
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1860326, 302534839 req, miss ratio 0.0392, byte miss ratio 0.0392
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3720653, 302534839 req, miss ratio 0.0353, byte miss ratio 0.0353
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7441306, 302534839 req, miss ratio 0.0317, byte miss ratio 0.0317
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     9301, 302534839 req, miss ratio 0.1604, byte miss ratio 0.1604
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    27904, 302534839 req, miss ratio 0.1088, byte miss ratio 0.1088
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    93016, 302534839 req, miss ratio 0.0996, byte miss ratio 0.0996
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   279048, 302534839 req, miss ratio 0.0542, byte miss ratio 0.0542
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   930163, 302534839 req, miss ratio 0.0425, byte miss ratio 0.0425
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1860326, 302534839 req, miss ratio 0.0383, byte miss ratio 0.0383
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3720653, 302534839 req, miss ratio 0.0349, byte miss ratio 0.0349
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7441306, 302534839 req, miss ratio 0.0316, byte miss ratio 0.0316
