result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size   902560, 60202760 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size  1805120, 60202760 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2256, 60202760 req, miss ratio 0.8211, byte miss ratio 0.8211
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6769, 60202760 req, miss ratio 0.7449, byte miss ratio 0.7449
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22564, 60202760 req, miss ratio 0.6375, byte miss ratio 0.6375
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67692, 60202760 req, miss ratio 0.4701, byte miss ratio 0.4701
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   225640, 60202760 req, miss ratio 0.2314, byte miss ratio 0.2314
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   451280, 60202760 req, miss ratio 0.1179, byte miss ratio 0.1179
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   902560, 60202760 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1805120, 60202760 req, miss ratio 0.0406, byte miss ratio 0.0406
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2256, 60202760 req, miss ratio 0.8160, byte miss ratio 0.8160
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6769, 60202760 req, miss ratio 0.7272, byte miss ratio 0.7272
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22564, 60202760 req, miss ratio 0.5887, byte miss ratio 0.5887
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67692, 60202760 req, miss ratio 0.4230, byte miss ratio 0.4230
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   225640, 60202760 req, miss ratio 0.2247, byte miss ratio 0.2247
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   451280, 60202760 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   902560, 60202760 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns2376.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1805120, 60202760 req, miss ratio 0.0425, byte miss ratio 0.0425
