result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size       54, 8539974 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size      163, 8539974 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size      546, 8539974 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size     1638, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       54, 8539974 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      163, 8539974 req, miss ratio 0.0365, byte miss ratio 0.0365
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      546, 8539974 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1638, 8539974 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5462, 8539974 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10924, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21849, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43699, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       54, 8539974 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      163, 8539974 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      546, 8539974 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1638, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10924, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21849, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
