result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1009, 1497698 req, miss ratio 0.4157, byte miss ratio 0.4157
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3365, 1497698 req, miss ratio 0.2367, byte miss ratio 0.2367
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6730, 1497698 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13461, 1497698 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    26923, 1497698 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size       33, 1497698 req, miss ratio 0.7949, byte miss ratio 0.7949
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size      100, 1497698 req, miss ratio 0.6884, byte miss ratio 0.6884
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size      336, 1497698 req, miss ratio 0.5348, byte miss ratio 0.5348
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size     1009, 1497698 req, miss ratio 0.3921, byte miss ratio 0.3921
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size     3365, 1497698 req, miss ratio 0.2028, byte miss ratio 0.2028
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size     6730, 1497698 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size    13461, 1497698 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO cache size    26923, 1497698 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size       33, 1497698 req, miss ratio 0.7291, byte miss ratio 0.7291
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size      100, 1497698 req, miss ratio 0.6305, byte miss ratio 0.6305
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size      336, 1497698 req, miss ratio 0.5048, byte miss ratio 0.5048
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size     1009, 1497698 req, miss ratio 0.3896, byte miss ratio 0.3896
