result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size      278, 1888496 req, miss ratio 0.5234, byte miss ratio 0.5234
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size      835, 1888496 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size     2784, 1888496 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size     8353, 1888496 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size    27843, 1888496 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size    55687, 1888496 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size   111374, 1888496 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO cache size   222748, 1888496 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size      278, 1888496 req, miss ratio 0.5203, byte miss ratio 0.5203
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size      835, 1888496 req, miss ratio 0.4100, byte miss ratio 0.4100
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size     2784, 1888496 req, miss ratio 0.2834, byte miss ratio 0.2834
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size     8353, 1888496 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size    27843, 1888496 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size    55687, 1888496 req, miss ratio 0.1958, byte miss ratio 0.1958
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size   111374, 1888496 req, miss ratio 0.1648, byte miss ratio 0.1648
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d cache size   222748, 1888496 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      278, 1888496 req, miss ratio 0.6642, byte miss ratio 0.6642
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      835, 1888496 req, miss ratio 0.4987, byte miss ratio 0.4987
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2784, 1888496 req, miss ratio 0.3802, byte miss ratio 0.3802
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8353, 1888496 req, miss ratio 0.4135, byte miss ratio 0.4135
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27843, 1888496 req, miss ratio 0.2471, byte miss ratio 0.2471
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55687, 1888496 req, miss ratio 0.2099, byte miss ratio 0.2099
