result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       17, 27800596 req, miss ratio 0.5905, byte miss ratio 0.5905
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       52, 27800596 req, miss ratio 0.4681, byte miss ratio 0.4681
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      173, 27800596 req, miss ratio 0.3398, byte miss ratio 0.3398
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      520, 27800596 req, miss ratio 0.2248, byte miss ratio 0.2248
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1734, 27800596 req, miss ratio 0.1352, byte miss ratio 0.1352
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3468, 27800596 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6937, 27800596 req, miss ratio 0.0207, byte miss ratio 0.0207
result/cdn1_lax.ns310.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size       17, 27800596 req, miss ratio 0.6023, byte miss ratio 0.6023
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size       52, 27800596 req, miss ratio 0.4577, byte miss ratio 0.4577
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size      173, 27800596 req, miss ratio 0.3462, byte miss ratio 0.3462
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size      520, 27800596 req, miss ratio 0.2419, byte miss ratio 0.2419
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size     1734, 27800596 req, miss ratio 0.1449, byte miss ratio 0.1449
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size     3468, 27800596 req, miss ratio 0.0933, byte miss ratio 0.0933
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size     6937, 27800596 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn1_lax.ns310.oracleGeneral.bin.zst B-LRU cache size    13874, 27800596 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       17, 27800596 req, miss ratio 0.6284, byte miss ratio 0.6284
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       52, 27800596 req, miss ratio 0.4885, byte miss ratio 0.4885
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      173, 27800596 req, miss ratio 0.3553, byte miss ratio 0.3553
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      520, 27800596 req, miss ratio 0.2417, byte miss ratio 0.2417
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1734, 27800596 req, miss ratio 0.1443, byte miss ratio 0.1443
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3468, 27800596 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6937, 27800596 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn1_lax.ns310.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13874, 27800596 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size       17, 27800596 req, miss ratio 0.5804, byte miss ratio 0.5804
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size       52, 27800596 req, miss ratio 0.4554, byte miss ratio 0.4554
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size      173, 27800596 req, miss ratio 0.3354, byte miss ratio 0.3354
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size      520, 27800596 req, miss ratio 0.2169, byte miss ratio 0.2169
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size     1734, 27800596 req, miss ratio 0.1326, byte miss ratio 0.1326
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size     3468, 27800596 req, miss ratio 0.0873, byte miss ratio 0.0873
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size     6937, 27800596 req, miss ratio 0.0198, byte miss ratio 0.0198
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size       17, 27800596 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size       52, 27800596 req, miss ratio 0.4785, byte miss ratio 0.4785
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size      173, 27800596 req, miss ratio 0.3475, byte miss ratio 0.3475
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size      520, 27800596 req, miss ratio 0.2169, byte miss ratio 0.2169
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size     1734, 27800596 req, miss ratio 0.1323, byte miss ratio 0.1323
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size     3468, 27800596 req, miss ratio 0.0867, byte miss ratio 0.0867
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size     6937, 27800596 req, miss ratio 0.0197, byte miss ratio 0.0197
