result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size      229, 2118317 req, miss ratio 0.5239, byte miss ratio 0.5239
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size      764, 2118317 req, miss ratio 0.4390, byte miss ratio 0.4390
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size     2292, 2118317 req, miss ratio 0.3377, byte miss ratio 0.3377
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size     7641, 2118317 req, miss ratio 0.2019, byte miss ratio 0.2019
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size    15283, 2118317 req, miss ratio 0.1265, byte miss ratio 0.1265
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size    30567, 2118317 req, miss ratio 0.0683, byte miss ratio 0.0683
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size    61134, 2118317 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       76, 2118317 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      229, 2118317 req, miss ratio 0.5242, byte miss ratio 0.5242
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      764, 2118317 req, miss ratio 0.4381, byte miss ratio 0.4381
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2292, 2118317 req, miss ratio 0.3511, byte miss ratio 0.3511
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7641, 2118317 req, miss ratio 0.2125, byte miss ratio 0.2125
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15283, 2118317 req, miss ratio 0.1235, byte miss ratio 0.1235
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30567, 2118317 req, miss ratio 0.0671, byte miss ratio 0.0671
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    61134, 2118317 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       76, 2118317 req, miss ratio 0.5856, byte miss ratio 0.5856
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      229, 2118317 req, miss ratio 0.5193, byte miss ratio 0.5193
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      764, 2118317 req, miss ratio 0.4341, byte miss ratio 0.4341
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2292, 2118317 req, miss ratio 0.3319, byte miss ratio 0.3319
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7641, 2118317 req, miss ratio 0.1979, byte miss ratio 0.1979
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15283, 2118317 req, miss ratio 0.1325, byte miss ratio 0.1325
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30567, 2118317 req, miss ratio 0.0686, byte miss ratio 0.0686
result/cdn2_allcolo.ns1198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    61134, 2118317 req, miss ratio 0.0403, byte miss ratio 0.0403
