result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size     2177, 3722658 req, miss ratio 0.7424, byte miss ratio 0.7424
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size     6533, 3722658 req, miss ratio 0.6944, byte miss ratio 0.6944
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size    21778, 3722658 req, miss ratio 0.6569, byte miss ratio 0.6569
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size    65334, 3722658 req, miss ratio 0.6141, byte miss ratio 0.6141
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size   217780, 3722658 req, miss ratio 0.5888, byte miss ratio 0.5888
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2177, 3722658 req, miss ratio 0.8684, byte miss ratio 0.8684
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6533, 3722658 req, miss ratio 0.8362, byte miss ratio 0.8362
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21778, 3722658 req, miss ratio 0.8041, byte miss ratio 0.8041
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    65334, 3722658 req, miss ratio 0.7589, byte miss ratio 0.7589
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   217780, 3722658 req, miss ratio 0.6989, byte miss ratio 0.6989
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   435560, 3722658 req, miss ratio 0.6542, byte miss ratio 0.6542
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   871121, 3722658 req, miss ratio 0.6113, byte miss ratio 0.6113
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1742243, 3722658 req, miss ratio 0.5892, byte miss ratio 0.5892
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2177, 3722658 req, miss ratio 0.9028, byte miss ratio 0.9028
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6533, 3722658 req, miss ratio 0.8416, byte miss ratio 0.8416
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21778, 3722658 req, miss ratio 0.7270, byte miss ratio 0.7270
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    65334, 3722658 req, miss ratio 0.6459, byte miss ratio 0.6459
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   217780, 3722658 req, miss ratio 0.6002, byte miss ratio 0.6002
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   435560, 3722658 req, miss ratio 0.5921, byte miss ratio 0.5921
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   871121, 3722658 req, miss ratio 0.5873, byte miss ratio 0.5873
result/cdn2_colo28.ns629.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1742243, 3722658 req, miss ratio 0.5853, byte miss ratio 0.5853
