result/w88.oracleGeneral.bin.zst S3FIFO cache size    83605, 4711053 req, miss ratio 0.1743, byte miss ratio 0.1743
result/w88.oracleGeneral.bin.zst S3FIFO cache size   167210, 4711053 req, miss ratio 0.1244, byte miss ratio 0.1244
result/w88.oracleGeneral.bin.zst S3FIFO cache size   334421, 4711053 req, miss ratio 0.0942, byte miss ratio 0.0942
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size      418, 4711053 req, miss ratio 0.5133, byte miss ratio 0.5133
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size     1254, 4711053 req, miss ratio 0.4178, byte miss ratio 0.4178
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size     4180, 4711053 req, miss ratio 0.3350, byte miss ratio 0.3350
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size    12540, 4711053 req, miss ratio 0.2752, byte miss ratio 0.2752
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size    41802, 4711053 req, miss ratio 0.2077, byte miss ratio 0.2077
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size    83605, 4711053 req, miss ratio 0.1743, byte miss ratio 0.1743
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size   167210, 4711053 req, miss ratio 0.1253, byte miss ratio 0.1253
result/w88.oracleGeneral.bin.zst S3FIFO-d cache size   334421, 4711053 req, miss ratio 0.0942, byte miss ratio 0.0942
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      418, 4711053 req, miss ratio 0.5419, byte miss ratio 0.5419
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1254, 4711053 req, miss ratio 0.4431, byte miss ratio 0.4431
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4180, 4711053 req, miss ratio 0.3507, byte miss ratio 0.3507
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    12540, 4711053 req, miss ratio 0.2945, byte miss ratio 0.2945
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    41802, 4711053 req, miss ratio 0.2103, byte miss ratio 0.2103
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    83605, 4711053 req, miss ratio 0.1736, byte miss ratio 0.1736
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   167210, 4711053 req, miss ratio 0.1352, byte miss ratio 0.1352
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   334421, 4711053 req, miss ratio 0.0952, byte miss ratio 0.0952
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      418, 4711053 req, miss ratio 0.5025, byte miss ratio 0.5025
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1254, 4711053 req, miss ratio 0.4202, byte miss ratio 0.4202
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4180, 4711053 req, miss ratio 0.3434, byte miss ratio 0.3434
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    12540, 4711053 req, miss ratio 0.2675, byte miss ratio 0.2675
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    83605, 4711053 req, miss ratio 0.1767, byte miss ratio 0.1767
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   167210, 4711053 req, miss ratio 0.1333, byte miss ratio 0.1333
result/w88.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   334421, 4711053 req, miss ratio 0.1022, byte miss ratio 0.1022
