result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5533, 1283191 req, miss ratio 0.1541, byte miss ratio 0.1541
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11066, 1283191 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22133, 1283191 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44267, 1283191 req, miss ratio 0.0578, byte miss ratio 0.0578
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size       55, 1283191 req, miss ratio 0.2832, byte miss ratio 0.2832
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size      166, 1283191 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size      553, 1283191 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size     1660, 1283191 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size     5533, 1283191 req, miss ratio 0.1469, byte miss ratio 0.1469
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size    11066, 1283191 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size    22133, 1283191 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO-d cache size    44267, 1283191 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size       55, 1283191 req, miss ratio 0.2836, byte miss ratio 0.2836
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size      166, 1283191 req, miss ratio 0.1901, byte miss ratio 0.1901
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size      553, 1283191 req, miss ratio 0.1737, byte miss ratio 0.1737
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size     1660, 1283191 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size     5533, 1283191 req, miss ratio 0.1470, byte miss ratio 0.1470
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size    11066, 1283191 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size    22133, 1283191 req, miss ratio 0.0748, byte miss ratio 0.0748
result/tencentBlock.ns12103.oracleGeneral.zst S3FIFO cache size    44267, 1283191 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       55, 1283191 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      166, 1283191 req, miss ratio 0.3374, byte miss ratio 0.3374
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      553, 1283191 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1660, 1283191 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5533, 1283191 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11066, 1283191 req, miss ratio 0.1051, byte miss ratio 0.1051
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22133, 1283191 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44267, 1283191 req, miss ratio 0.0449, byte miss ratio 0.0449
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       55, 1283191 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      166, 1283191 req, miss ratio 0.2082, byte miss ratio 0.2082
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      553, 1283191 req, miss ratio 0.1630, byte miss ratio 0.1630
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1660, 1283191 req, miss ratio 0.1539, byte miss ratio 0.1539
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5533, 1283191 req, miss ratio 0.1339, byte miss ratio 0.1339
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11066, 1283191 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22133, 1283191 req, miss ratio 0.0637, byte miss ratio 0.0637
result/tencentBlock.ns12103.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44267, 1283191 req, miss ratio 0.0441, byte miss ratio 0.0441
