result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   151710, 3200000 req, miss ratio 0.1546, byte miss ratio 0.1546
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   303421, 3200000 req, miss ratio 0.1251, byte miss ratio 0.1251
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      379, 3200000 req, miss ratio 0.6258, byte miss ratio 0.6258
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1137, 3200000 req, miss ratio 0.5791, byte miss ratio 0.5791
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3792, 3200000 req, miss ratio 0.5353, byte miss ratio 0.5353
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11378, 3200000 req, miss ratio 0.4678, byte miss ratio 0.4678
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37927, 3200000 req, miss ratio 0.3264, byte miss ratio 0.3264
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    75855, 3200000 req, miss ratio 0.2109, byte miss ratio 0.2109
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   151710, 3200000 req, miss ratio 0.1572, byte miss ratio 0.1572
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   303421, 3200000 req, miss ratio 0.1338, byte miss ratio 0.1338
