result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3564, 1060216 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11881, 1060216 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23762, 1060216 req, miss ratio 0.1146, byte miss ratio 0.1146
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47525, 1060216 req, miss ratio 0.1133, byte miss ratio 0.1133
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    95050, 1060216 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size      118, 1060216 req, miss ratio 0.1874, byte miss ratio 0.1874
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size      356, 1060216 req, miss ratio 0.1455, byte miss ratio 0.1455
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size     1188, 1060216 req, miss ratio 0.1245, byte miss ratio 0.1245
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size     3564, 1060216 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size    11881, 1060216 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size    23762, 1060216 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size    47525, 1060216 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_colo28.ns3538.oracleGeneral.zst B-LRU cache size    95050, 1060216 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size      118, 1060216 req, miss ratio 0.1732, byte miss ratio 0.1732
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size      356, 1060216 req, miss ratio 0.1403, byte miss ratio 0.1403
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size     1188, 1060216 req, miss ratio 0.1219, byte miss ratio 0.1219
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size     3564, 1060216 req, miss ratio 0.1178, byte miss ratio 0.1178
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size    11881, 1060216 req, miss ratio 0.1144, byte miss ratio 0.1144
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size    23762, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size    47525, 1060216 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size      118, 1060216 req, miss ratio 0.1827, byte miss ratio 0.1827
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size      356, 1060216 req, miss ratio 0.1407, byte miss ratio 0.1407
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size     1188, 1060216 req, miss ratio 0.1219, byte miss ratio 0.1219
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size     3564, 1060216 req, miss ratio 0.1178, byte miss ratio 0.1178
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size    11881, 1060216 req, miss ratio 0.1144, byte miss ratio 0.1144
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size    23762, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size    47525, 1060216 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      118, 1060216 req, miss ratio 0.1765, byte miss ratio 0.1765
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      356, 1060216 req, miss ratio 0.1420, byte miss ratio 0.1420
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1188, 1060216 req, miss ratio 0.1239, byte miss ratio 0.1239
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3564, 1060216 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11881, 1060216 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23762, 1060216 req, miss ratio 0.1136, byte miss ratio 0.1136
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    47525, 1060216 req, miss ratio 0.1129, byte miss ratio 0.1129
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    95050, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      118, 1060216 req, miss ratio 0.1769, byte miss ratio 0.1769
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      356, 1060216 req, miss ratio 0.1427, byte miss ratio 0.1427
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1188, 1060216 req, miss ratio 0.1246, byte miss ratio 0.1246
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3564, 1060216 req, miss ratio 0.1187, byte miss ratio 0.1187
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11881, 1060216 req, miss ratio 0.1147, byte miss ratio 0.1147
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23762, 1060216 req, miss ratio 0.1139, byte miss ratio 0.1139
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    47525, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    95050, 1060216 req, miss ratio 0.1126, byte miss ratio 0.1126
