result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      451, 1586158 req, miss ratio 0.5989, byte miss ratio 0.5989
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1505, 1586158 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4515, 1586158 req, miss ratio 0.4231, byte miss ratio 0.4231
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15052, 1586158 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30104, 1586158 req, miss ratio 0.2667, byte miss ratio 0.2667
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    60209, 1586158 req, miss ratio 0.1757, byte miss ratio 0.1757
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   120419, 1586158 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      150, 1586158 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      451, 1586158 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1505, 1586158 req, miss ratio 0.3964, byte miss ratio 0.3964
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4515, 1586158 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15052, 1586158 req, miss ratio 0.3257, byte miss ratio 0.3257
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30104, 1586158 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60209, 1586158 req, miss ratio 0.1872, byte miss ratio 0.1872
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   120419, 1586158 req, miss ratio 0.1073, byte miss ratio 0.1073
