result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size   105686, 3131344 req, miss ratio 0.2216, byte miss ratio 0.2216
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size   211372, 3131344 req, miss ratio 0.2200, byte miss ratio 0.2200
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size   422745, 3131344 req, miss ratio 0.2200, byte miss ratio 0.2200
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      528, 3131344 req, miss ratio 0.5814, byte miss ratio 0.5814
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1585, 3131344 req, miss ratio 0.5650, byte miss ratio 0.5650
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5284, 3131344 req, miss ratio 0.5490, byte miss ratio 0.5490
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15852, 3131344 req, miss ratio 0.4971, byte miss ratio 0.4971
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    52843, 3131344 req, miss ratio 0.2993, byte miss ratio 0.2993
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   105686, 3131344 req, miss ratio 0.2043, byte miss ratio 0.2043
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   211372, 3131344 req, miss ratio 0.1799, byte miss ratio 0.1799
result/cdn2_colo28.ns387.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   422745, 3131344 req, miss ratio 0.1721, byte miss ratio 0.1721
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size      528, 3131344 req, miss ratio 0.5753, byte miss ratio 0.5753
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size     1585, 3131344 req, miss ratio 0.5552, byte miss ratio 0.5552
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size     5284, 3131344 req, miss ratio 0.5264, byte miss ratio 0.5264
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size    15852, 3131344 req, miss ratio 0.4955, byte miss ratio 0.4955
