result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size        5, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       17, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       52, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size        5, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
