result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size   822024, 2335244 req, miss ratio 0.4503, byte miss ratio 0.4503
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size     1027, 2335244 req, miss ratio 0.8144, byte miss ratio 0.8144
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size     3082, 2335244 req, miss ratio 0.7760, byte miss ratio 0.7760
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size    10275, 2335244 req, miss ratio 0.7214, byte miss ratio 0.7214
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size    30825, 2335244 req, miss ratio 0.6578, byte miss ratio 0.6578
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size   102753, 2335244 req, miss ratio 0.5828, byte miss ratio 0.5828
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size   205506, 2335244 req, miss ratio 0.5357, byte miss ratio 0.5357
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size   411012, 2335244 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO cache size   822024, 2335244 req, miss ratio 0.4443, byte miss ratio 0.4443
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size     1027, 2335244 req, miss ratio 0.8122, byte miss ratio 0.8122
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size     3082, 2335244 req, miss ratio 0.7756, byte miss ratio 0.7756
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size    10275, 2335244 req, miss ratio 0.7209, byte miss ratio 0.7209
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size    30825, 2335244 req, miss ratio 0.6574, byte miss ratio 0.6574
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size   102753, 2335244 req, miss ratio 0.5825, byte miss ratio 0.5825
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size   205506, 2335244 req, miss ratio 0.5357, byte miss ratio 0.5357
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size   411012, 2335244 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d cache size   822024, 2335244 req, miss ratio 0.4443, byte miss ratio 0.4443
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1027, 2335244 req, miss ratio 0.8488, byte miss ratio 0.8488
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3082, 2335244 req, miss ratio 0.8144, byte miss ratio 0.8144
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10275, 2335244 req, miss ratio 0.7631, byte miss ratio 0.7631
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30825, 2335244 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   102753, 2335244 req, miss ratio 0.6333, byte miss ratio 0.6333
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   205506, 2335244 req, miss ratio 0.5751, byte miss ratio 0.5751
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   411012, 2335244 req, miss ratio 0.5108, byte miss ratio 0.5108
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   822024, 2335244 req, miss ratio 0.4523, byte miss ratio 0.4523
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1027, 2335244 req, miss ratio 0.8520, byte miss ratio 0.8520
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3082, 2335244 req, miss ratio 0.8015, byte miss ratio 0.8015
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10275, 2335244 req, miss ratio 0.7577, byte miss ratio 0.7577
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30825, 2335244 req, miss ratio 0.7023, byte miss ratio 0.7023
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   102753, 2335244 req, miss ratio 0.6250, byte miss ratio 0.6250
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   205506, 2335244 req, miss ratio 0.5695, byte miss ratio 0.5695
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   411012, 2335244 req, miss ratio 0.5071, byte miss ratio 0.5071
result/cdn2_colo28.ns1315.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   822024, 2335244 req, miss ratio 0.4510, byte miss ratio 0.4510
