result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size      214, 1049845 req, miss ratio 0.0532, byte miss ratio 0.0532
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size      714, 1049845 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size     1428, 1049845 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size     2857, 1049845 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size     5715, 1049845 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size       21, 1049845 req, miss ratio 0.0733, byte miss ratio 0.0733
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size       71, 1049845 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size      214, 1049845 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size      714, 1049845 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size     1428, 1049845 req, miss ratio 0.0252, byte miss ratio 0.0252
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size     2857, 1049845 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO cache size     5715, 1049845 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size       21, 1049845 req, miss ratio 0.0716, byte miss ratio 0.0716
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size       71, 1049845 req, miss ratio 0.0579, byte miss ratio 0.0579
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size      214, 1049845 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size      714, 1049845 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size     1428, 1049845 req, miss ratio 0.0252, byte miss ratio 0.0252
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size     2857, 1049845 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d cache size     5715, 1049845 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       21, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       71, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      214, 1049845 req, miss ratio 0.1147, byte miss ratio 0.1147
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      714, 1049845 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1428, 1049845 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2857, 1049845 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5715, 1049845 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       21, 1049845 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       71, 1049845 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      214, 1049845 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      714, 1049845 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1428, 1049845 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2857, 1049845 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5715, 1049845 req, miss ratio 0.0077, byte miss ratio 0.0077
