result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   163725, 152732993 req, miss ratio 0.0223, byte miss ratio 0.0223
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   327450, 152732993 req, miss ratio 0.0109, byte miss ratio 0.0109
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size      818, 152732993 req, miss ratio 0.3276, byte miss ratio 0.3276
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size     2455, 152732993 req, miss ratio 0.2524, byte miss ratio 0.2524
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size     8186, 152732993 req, miss ratio 0.1420, byte miss ratio 0.1420
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size    24558, 152732993 req, miss ratio 0.0833, byte miss ratio 0.0833
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size    81862, 152732993 req, miss ratio 0.0427, byte miss ratio 0.0427
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size   163725, 152732993 req, miss ratio 0.0280, byte miss ratio 0.0280
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size   327450, 152732993 req, miss ratio 0.0165, byte miss ratio 0.0165
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst B-LRU cache size   654900, 152732993 req, miss ratio 0.0109, byte miss ratio 0.0109
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size      818, 152732993 req, miss ratio 0.3098, byte miss ratio 0.3098
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size     2455, 152732993 req, miss ratio 0.2154, byte miss ratio 0.2154
