result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size      505, 4867334 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size     1685, 4867334 req, miss ratio 0.3113, byte miss ratio 0.3113
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size     5056, 4867334 req, miss ratio 0.2503, byte miss ratio 0.2503
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size    16854, 4867334 req, miss ratio 0.1522, byte miss ratio 0.1522
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size    33709, 4867334 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size    67418, 4867334 req, miss ratio 0.0889, byte miss ratio 0.0889
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size   134836, 4867334 req, miss ratio 0.0617, byte miss ratio 0.0617
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size      168, 4867334 req, miss ratio 0.4550, byte miss ratio 0.4550
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size      505, 4867334 req, miss ratio 0.3441, byte miss ratio 0.3441
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1685, 4867334 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5056, 4867334 req, miss ratio 0.2344, byte miss ratio 0.2344
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16854, 4867334 req, miss ratio 0.1396, byte miss ratio 0.1396
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size    33709, 4867334 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67418, 4867334 req, miss ratio 0.0821, byte miss ratio 0.0821
result/tencentBlock.ns5268.oracleGeneral.zst S4LRU(25:25:25:25) cache size   134836, 4867334 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size      168, 4867334 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size      505, 4867334 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size     1685, 4867334 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size     5056, 4867334 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size    16854, 4867334 req, miss ratio 0.1336, byte miss ratio 0.1336
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size    33709, 4867334 req, miss ratio 0.1182, byte miss ratio 0.1182
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size    67418, 4867334 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO cache size   134836, 4867334 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size      168, 4867334 req, miss ratio 0.4457, byte miss ratio 0.4457
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size      505, 4867334 req, miss ratio 0.3257, byte miss ratio 0.3257
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size     1685, 4867334 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size     5056, 4867334 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size    16854, 4867334 req, miss ratio 0.1335, byte miss ratio 0.1335
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size    33709, 4867334 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size    67418, 4867334 req, miss ratio 0.0805, byte miss ratio 0.0805
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d cache size   134836, 4867334 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      168, 4867334 req, miss ratio 0.4489, byte miss ratio 0.4489
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      505, 4867334 req, miss ratio 0.3786, byte miss ratio 0.3786
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1685, 4867334 req, miss ratio 0.2698, byte miss ratio 0.2698
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5056, 4867334 req, miss ratio 0.1893, byte miss ratio 0.1893
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16854, 4867334 req, miss ratio 0.1437, byte miss ratio 0.1437
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    33709, 4867334 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67418, 4867334 req, miss ratio 0.0686, byte miss ratio 0.0686
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   134836, 4867334 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      168, 4867334 req, miss ratio 0.4248, byte miss ratio 0.4248
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      505, 4867334 req, miss ratio 0.3285, byte miss ratio 0.3285
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1685, 4867334 req, miss ratio 0.2604, byte miss ratio 0.2604
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5056, 4867334 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16854, 4867334 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    33709, 4867334 req, miss ratio 0.1154, byte miss ratio 0.1154
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67418, 4867334 req, miss ratio 0.0632, byte miss ratio 0.0632
result/tencentBlock.ns5268.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   134836, 4867334 req, miss ratio 0.0371, byte miss ratio 0.0371
