result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size  4516001, 507257408 req, miss ratio 0.0212, byte miss ratio 0.0212
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     5645, 507257408 req, miss ratio 0.2849, byte miss ratio 0.2849
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    16935, 507257408 req, miss ratio 0.1925, byte miss ratio 0.1925
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    56450, 507257408 req, miss ratio 0.1138, byte miss ratio 0.1138
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   169350, 507257408 req, miss ratio 0.0648, byte miss ratio 0.0648
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   564500, 507257408 req, miss ratio 0.0334, byte miss ratio 0.0334
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1129000, 507257408 req, miss ratio 0.0226, byte miss ratio 0.0226
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2258000, 507257408 req, miss ratio 0.0156, byte miss ratio 0.0156
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4516001, 507257408 req, miss ratio 0.0119, byte miss ratio 0.0119
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     5645, 507257408 req, miss ratio 0.2566, byte miss ratio 0.2566
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    16935, 507257408 req, miss ratio 0.1724, byte miss ratio 0.1724
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    56450, 507257408 req, miss ratio 0.1016, byte miss ratio 0.1016
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   169350, 507257408 req, miss ratio 0.0579, byte miss ratio 0.0579
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   564500, 507257408 req, miss ratio 0.0302, byte miss ratio 0.0302
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1129000, 507257408 req, miss ratio 0.0206, byte miss ratio 0.0206
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2258000, 507257408 req, miss ratio 0.0142, byte miss ratio 0.0142
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4516001, 507257408 req, miss ratio 0.0114, byte miss ratio 0.0114
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size     5645, 507257408 req, miss ratio 0.2538, byte miss ratio 0.2538
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size    16935, 507257408 req, miss ratio 0.1690, byte miss ratio 0.1690
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size    56450, 507257408 req, miss ratio 0.0994, byte miss ratio 0.0994
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size   169350, 507257408 req, miss ratio 0.0572, byte miss ratio 0.0572
