result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   118830, 21236651 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   237661, 21236651 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   475322, 21236651 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size      594, 21236651 req, miss ratio 0.6683, byte miss ratio 0.6683
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size     1782, 21236651 req, miss ratio 0.4809, byte miss ratio 0.4809
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size     5941, 21236651 req, miss ratio 0.2739, byte miss ratio 0.2739
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size    17824, 21236651 req, miss ratio 0.1311, byte miss ratio 0.1311
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size    59415, 21236651 req, miss ratio 0.0544, byte miss ratio 0.0544
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size   118830, 21236651 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size   237661, 21236651 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns256.oracleGeneral.zst TwoQ cache size   475322, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size      594, 21236651 req, miss ratio 0.6860, byte miss ratio 0.6860
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size     1782, 21236651 req, miss ratio 0.5312, byte miss ratio 0.5312
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size     5941, 21236651 req, miss ratio 0.3229, byte miss ratio 0.3229
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size    17824, 21236651 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size    59415, 21236651 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size   118830, 21236651 req, miss ratio 0.0603, byte miss ratio 0.0603
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size   237661, 21236651 req, miss ratio 0.0495, byte miss ratio 0.0495
result/cdn2_allcolo.ns256.oracleGeneral.zst B-LRU cache size   475322, 21236651 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size      594, 21236651 req, miss ratio 0.6753, byte miss ratio 0.6753
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size     1782, 21236651 req, miss ratio 0.4755, byte miss ratio 0.4755
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size     5941, 21236651 req, miss ratio 0.2653, byte miss ratio 0.2653
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size    17824, 21236651 req, miss ratio 0.1267, byte miss ratio 0.1267
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size    59415, 21236651 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size   118830, 21236651 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO cache size   475322, 21236651 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size      594, 21236651 req, miss ratio 0.6670, byte miss ratio 0.6670
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size     1782, 21236651 req, miss ratio 0.4833, byte miss ratio 0.4833
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size     5941, 21236651 req, miss ratio 0.2676, byte miss ratio 0.2676
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size    17824, 21236651 req, miss ratio 0.1269, byte miss ratio 0.1269
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size    59415, 21236651 req, miss ratio 0.0526, byte miss ratio 0.0526
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size   118830, 21236651 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d cache size   475322, 21236651 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      594, 21236651 req, miss ratio 0.6950, byte miss ratio 0.6950
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1782, 21236651 req, miss ratio 0.5228, byte miss ratio 0.5228
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5941, 21236651 req, miss ratio 0.2803, byte miss ratio 0.2803
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17824, 21236651 req, miss ratio 0.1279, byte miss ratio 0.1279
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    59415, 21236651 req, miss ratio 0.0556, byte miss ratio 0.0556
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   118830, 21236651 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   237661, 21236651 req, miss ratio 0.0334, byte miss ratio 0.0334
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   475322, 21236651 req, miss ratio 0.0288, byte miss ratio 0.0288
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      594, 21236651 req, miss ratio 0.6732, byte miss ratio 0.6732
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1782, 21236651 req, miss ratio 0.4649, byte miss ratio 0.4649
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5941, 21236651 req, miss ratio 0.2578, byte miss ratio 0.2578
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17824, 21236651 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    59415, 21236651 req, miss ratio 0.0523, byte miss ratio 0.0523
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   118830, 21236651 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   237661, 21236651 req, miss ratio 0.0331, byte miss ratio 0.0331
result/cdn2_allcolo.ns256.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   475322, 21236651 req, miss ratio 0.0299, byte miss ratio 0.0299
