result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14838, 22199791 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29677, 22199791 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       74, 22199791 req, miss ratio 0.4016, byte miss ratio 0.4016
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      222, 22199791 req, miss ratio 0.3482, byte miss ratio 0.3482
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      741, 22199791 req, miss ratio 0.2783, byte miss ratio 0.2783
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2225, 22199791 req, miss ratio 0.1842, byte miss ratio 0.1842
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7419, 22199791 req, miss ratio 0.0649, byte miss ratio 0.0649
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14838, 22199791 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29677, 22199791 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
