result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size    84077, 13334390 req, miss ratio 0.0510, byte miss ratio 0.0510
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size   168154, 13334390 req, miss ratio 0.0371, byte miss ratio 0.0371
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size   336308, 13334390 req, miss ratio 0.0322, byte miss ratio 0.0322
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size      420, 13334390 req, miss ratio 0.2599, byte miss ratio 0.2599
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1261, 13334390 req, miss ratio 0.1842, byte miss ratio 0.1842
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size     4203, 13334390 req, miss ratio 0.1300, byte miss ratio 0.1300
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size    12611, 13334390 req, miss ratio 0.0969, byte miss ratio 0.0969
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size    42038, 13334390 req, miss ratio 0.0692, byte miss ratio 0.0692
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size    84077, 13334390 req, miss ratio 0.0527, byte miss ratio 0.0527
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size   168154, 13334390 req, miss ratio 0.0459, byte miss ratio 0.0459
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst B-LRU cache size   336308, 13334390 req, miss ratio 0.0458, byte miss ratio 0.0458
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size      420, 13334390 req, miss ratio 0.2255, byte miss ratio 0.2255
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1261, 13334390 req, miss ratio 0.1662, byte miss ratio 0.1662
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size     4203, 13334390 req, miss ratio 0.1208, byte miss ratio 0.1208
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size    12611, 13334390 req, miss ratio 0.0924, byte miss ratio 0.0924
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size    42038, 13334390 req, miss ratio 0.0639, byte miss ratio 0.0639
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size    84077, 13334390 req, miss ratio 0.0500, byte miss ratio 0.0500
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size   168154, 13334390 req, miss ratio 0.0411, byte miss ratio 0.0411
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst TwoQ cache size   336308, 13334390 req, miss ratio 0.0347, byte miss ratio 0.0347
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      420, 13334390 req, miss ratio 0.2599, byte miss ratio 0.2599
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1261, 13334390 req, miss ratio 0.1866, byte miss ratio 0.1866
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4203, 13334390 req, miss ratio 0.1330, byte miss ratio 0.1330
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12611, 13334390 req, miss ratio 0.0984, byte miss ratio 0.0984
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    42038, 13334390 req, miss ratio 0.0668, byte miss ratio 0.0668
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    84077, 13334390 req, miss ratio 0.0508, byte miss ratio 0.0508
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   168154, 13334390 req, miss ratio 0.0385, byte miss ratio 0.0385
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   336308, 13334390 req, miss ratio 0.0332, byte miss ratio 0.0332
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      420, 13334390 req, miss ratio 0.2254, byte miss ratio 0.2254
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1261, 13334390 req, miss ratio 0.1669, byte miss ratio 0.1669
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4203, 13334390 req, miss ratio 0.1224, byte miss ratio 0.1224
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12611, 13334390 req, miss ratio 0.0924, byte miss ratio 0.0924
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    42038, 13334390 req, miss ratio 0.0622, byte miss ratio 0.0622
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    84077, 13334390 req, miss ratio 0.0469, byte miss ratio 0.0469
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   168154, 13334390 req, miss ratio 0.0367, byte miss ratio 0.0367
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      420, 13334390 req, miss ratio 0.2409, byte miss ratio 0.2409
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1261, 13334390 req, miss ratio 0.1672, byte miss ratio 0.1672
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     4203, 13334390 req, miss ratio 0.1195, byte miss ratio 0.1195
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    12611, 13334390 req, miss ratio 0.0902, byte miss ratio 0.0902
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    42038, 13334390 req, miss ratio 0.0608, byte miss ratio 0.0608
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    84077, 13334390 req, miss ratio 0.0463, byte miss ratio 0.0463
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   168154, 13334390 req, miss ratio 0.0368, byte miss ratio 0.0368
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   336308, 13334390 req, miss ratio 0.0320, byte miss ratio 0.0320
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      420, 13334390 req, miss ratio 0.2165, byte miss ratio 0.2165
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1261, 13334390 req, miss ratio 0.1624, byte miss ratio 0.1624
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     4203, 13334390 req, miss ratio 0.1199, byte miss ratio 0.1199
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    12611, 13334390 req, miss ratio 0.0903, byte miss ratio 0.0903
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    42038, 13334390 req, miss ratio 0.0608, byte miss ratio 0.0608
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    84077, 13334390 req, miss ratio 0.0463, byte miss ratio 0.0463
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   168154, 13334390 req, miss ratio 0.0368, byte miss ratio 0.0368
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   336308, 13334390 req, miss ratio 0.0320, byte miss ratio 0.0320
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      420, 13334390 req, miss ratio 0.2166, byte miss ratio 0.2166
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1261, 13334390 req, miss ratio 0.1662, byte miss ratio 0.1662
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4203, 13334390 req, miss ratio 0.1284, byte miss ratio 0.1284
