result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    12212, 40325268 req, miss ratio 0.3032, byte miss ratio 0.3032
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   122122, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   366367, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    12212, 40325268 req, miss ratio 0.3037, byte miss ratio 0.3037
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   122122, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   366367, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12212, 40325268 req, miss ratio 0.5497, byte miss ratio 0.5497
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    36636, 40325268 req, miss ratio 0.4425, byte miss ratio 0.4425
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   122122, 40325268 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1221223, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12212, 40325268 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
