result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size   157390, 1772758 req, miss ratio 0.1177, byte miss ratio 0.1177
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      196, 1772758 req, miss ratio 0.8306, byte miss ratio 0.8306
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      590, 1772758 req, miss ratio 0.7545, byte miss ratio 0.7545
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1967, 1772758 req, miss ratio 0.6252, byte miss ratio 0.6252
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5902, 1772758 req, miss ratio 0.4720, byte miss ratio 0.4720
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    19673, 1772758 req, miss ratio 0.2962, byte miss ratio 0.2962
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    39347, 1772758 req, miss ratio 0.2017, byte miss ratio 0.2017
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    78695, 1772758 req, miss ratio 0.1415, byte miss ratio 0.1415
result/cdn1_lax.ns567.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      196, 1772758 req, miss ratio 0.8536, byte miss ratio 0.8536
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      590, 1772758 req, miss ratio 0.8041, byte miss ratio 0.8041
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1967, 1772758 req, miss ratio 0.6846, byte miss ratio 0.6846
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5902, 1772758 req, miss ratio 0.5276, byte miss ratio 0.5276
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    19673, 1772758 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    39347, 1772758 req, miss ratio 0.2274, byte miss ratio 0.2274
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    78695, 1772758 req, miss ratio 0.1503, byte miss ratio 0.1503
result/cdn1_lax.ns567.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   157390, 1772758 req, miss ratio 0.1139, byte miss ratio 0.1139
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size      196, 1772758 req, miss ratio 0.8753, byte miss ratio 0.8753
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size      590, 1772758 req, miss ratio 0.8125, byte miss ratio 0.8125
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size     1967, 1772758 req, miss ratio 0.6875, byte miss ratio 0.6875
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size     5902, 1772758 req, miss ratio 0.5213, byte miss ratio 0.5213
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size    19673, 1772758 req, miss ratio 0.3196, byte miss ratio 0.3196
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size    39347, 1772758 req, miss ratio 0.2234, byte miss ratio 0.2234
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size    78695, 1772758 req, miss ratio 0.1790, byte miss ratio 0.1790
result/cdn1_lax.ns567.oracleGeneral.bin.zst B-LRU cache size   157390, 1772758 req, miss ratio 0.1778, byte miss ratio 0.1778
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size      196, 1772758 req, miss ratio 0.8318, byte miss ratio 0.8318
