result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1185, 1994940 req, miss ratio 0.6959, byte miss ratio 0.6959
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3555, 1994940 req, miss ratio 0.6719, byte miss ratio 0.6719
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    11851, 1994940 req, miss ratio 0.6388, byte miss ratio 0.6388
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    35553, 1994940 req, miss ratio 0.6205, byte miss ratio 0.6205
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   118510, 1994940 req, miss ratio 0.5962, byte miss ratio 0.5962
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   237020, 1994940 req, miss ratio 0.5951, byte miss ratio 0.5951
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   474041, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1185, 1994940 req, miss ratio 0.6402, byte miss ratio 0.6402
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3555, 1994940 req, miss ratio 0.6221, byte miss ratio 0.6221
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    11851, 1994940 req, miss ratio 0.5968, byte miss ratio 0.5968
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    35553, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   118510, 1994940 req, miss ratio 0.5948, byte miss ratio 0.5948
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   237020, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   474041, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
