result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    11167, 15617420 req, miss ratio 0.8140, byte miss ratio 0.8140
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    37225, 15617420 req, miss ratio 0.7382, byte miss ratio 0.7382
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   111677, 15617420 req, miss ratio 0.6483, byte miss ratio 0.6483
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   372258, 15617420 req, miss ratio 0.5383, byte miss ratio 0.5383
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   744516, 15617420 req, miss ratio 0.4183, byte miss ratio 0.4183
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1489033, 15617420 req, miss ratio 0.3300, byte miss ratio 0.3300
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  2978066, 15617420 req, miss ratio 0.2387, byte miss ratio 0.2387
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3722, 15617420 req, miss ratio 0.8353, byte miss ratio 0.8353
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    11167, 15617420 req, miss ratio 0.8016, byte miss ratio 0.8016
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    37225, 15617420 req, miss ratio 0.7396, byte miss ratio 0.7396
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   111677, 15617420 req, miss ratio 0.6623, byte miss ratio 0.6623
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   372258, 15617420 req, miss ratio 0.5513, byte miss ratio 0.5513
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   744516, 15617420 req, miss ratio 0.4368, byte miss ratio 0.4368
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1489033, 15617420 req, miss ratio 0.3573, byte miss ratio 0.3573
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  2978066, 15617420 req, miss ratio 0.2404, byte miss ratio 0.2404
