result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   175678, 654038818 req, miss ratio 0.0009, byte miss ratio 0.0009
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      439, 654038818 req, miss ratio 0.2174, byte miss ratio 0.2174
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1317, 654038818 req, miss ratio 0.1308, byte miss ratio 0.1308
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4391, 654038818 req, miss ratio 0.0589, byte miss ratio 0.0589
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    13175, 654038818 req, miss ratio 0.0178, byte miss ratio 0.0178
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    43919, 654038818 req, miss ratio 0.0032, byte miss ratio 0.0032
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    87839, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size      439, 654038818 req, miss ratio 0.2425, byte miss ratio 0.2425
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1317, 654038818 req, miss ratio 0.1467, byte miss ratio 0.1467
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size     4391, 654038818 req, miss ratio 0.0668, byte miss ratio 0.0668
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size    13175, 654038818 req, miss ratio 0.0195, byte miss ratio 0.0195
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size    43919, 654038818 req, miss ratio 0.0039, byte miss ratio 0.0039
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size    87839, 654038818 req, miss ratio 0.0019, byte miss ratio 0.0019
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size   175678, 654038818 req, miss ratio 0.0014, byte miss ratio 0.0014
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size   351357, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size      439, 654038818 req, miss ratio 0.2094, byte miss ratio 0.2094
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1317, 654038818 req, miss ratio 0.1246, byte miss ratio 0.1246
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size     4391, 654038818 req, miss ratio 0.0587, byte miss ratio 0.0587
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size    13175, 654038818 req, miss ratio 0.0183, byte miss ratio 0.0183
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size    43919, 654038818 req, miss ratio 0.0036, byte miss ratio 0.0036
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size    87839, 654038818 req, miss ratio 0.0015, byte miss ratio 0.0015
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size   175678, 654038818 req, miss ratio 0.0008, byte miss ratio 0.0008
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      439, 654038818 req, miss ratio 0.2071, byte miss ratio 0.2071
