result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    39628, 825591125 req, miss ratio 0.1778, byte miss ratio 0.1778
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   118886, 825591125 req, miss ratio 0.1288, byte miss ratio 0.1288
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   396288, 825591125 req, miss ratio 0.0898, byte miss ratio 0.0898
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1188865, 825591125 req, miss ratio 0.0674, byte miss ratio 0.0674
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3962885, 825591125 req, miss ratio 0.0543, byte miss ratio 0.0543
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  7925770, 825591125 req, miss ratio 0.0510, byte miss ratio 0.0510
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 15851541, 825591125 req, miss ratio 0.0488, byte miss ratio 0.0488
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    39628, 825591125 req, miss ratio 0.1776, byte miss ratio 0.1776
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   118886, 825591125 req, miss ratio 0.1284, byte miss ratio 0.1284
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   396288, 825591125 req, miss ratio 0.0899, byte miss ratio 0.0899
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1188865, 825591125 req, miss ratio 0.0681, byte miss ratio 0.0681
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3962885, 825591125 req, miss ratio 0.0554, byte miss ratio 0.0554
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  7925770, 825591125 req, miss ratio 0.0514, byte miss ratio 0.0514
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 15851541, 825591125 req, miss ratio 0.0488, byte miss ratio 0.0488
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    39628, 825591125 req, miss ratio 0.1820, byte miss ratio 0.1820
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   118886, 825591125 req, miss ratio 0.1357, byte miss ratio 0.1357
