result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   122684, 99119244 req, miss ratio 0.2491, byte miss ratio 0.2491
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   408949, 99119244 req, miss ratio 0.3490, byte miss ratio 0.3490
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   817899, 99119244 req, miss ratio 0.1270, byte miss ratio 0.1270
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1635798, 99119244 req, miss ratio 0.0794, byte miss ratio 0.0794
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3271596, 99119244 req, miss ratio 0.0487, byte miss ratio 0.0487
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4089, 99119244 req, miss ratio 0.4945, byte miss ratio 0.4945
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12268, 99119244 req, miss ratio 0.4066, byte miss ratio 0.4066
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    40894, 99119244 req, miss ratio 0.4175, byte miss ratio 0.4175
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   122684, 99119244 req, miss ratio 0.2176, byte miss ratio 0.2176
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   408949, 99119244 req, miss ratio 0.1974, byte miss ratio 0.1974
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   817899, 99119244 req, miss ratio 0.1264, byte miss ratio 0.1264
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1635798, 99119244 req, miss ratio 0.0666, byte miss ratio 0.0666
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3271596, 99119244 req, miss ratio 0.0451, byte miss ratio 0.0451
