result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    59545, 35514911 req, miss ratio 0.0646, byte miss ratio 0.0646
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   119090, 35514911 req, miss ratio 0.0444, byte miss ratio 0.0444
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   238181, 35514911 req, miss ratio 0.0262, byte miss ratio 0.0262
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   476362, 35514911 req, miss ratio 0.0175, byte miss ratio 0.0175
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      595, 35514911 req, miss ratio 0.3237, byte miss ratio 0.3237
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1786, 35514911 req, miss ratio 0.2177, byte miss ratio 0.2177
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     5954, 35514911 req, miss ratio 0.1529, byte miss ratio 0.1529
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    17863, 35514911 req, miss ratio 0.1056, byte miss ratio 0.1056
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    59545, 35514911 req, miss ratio 0.0646, byte miss ratio 0.0646
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   119090, 35514911 req, miss ratio 0.0444, byte miss ratio 0.0444
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   238181, 35514911 req, miss ratio 0.0262, byte miss ratio 0.0262
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   476362, 35514911 req, miss ratio 0.0175, byte miss ratio 0.0175
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      595, 35514911 req, miss ratio 0.4481, byte miss ratio 0.4481
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1786, 35514911 req, miss ratio 0.3030, byte miss ratio 0.3030
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5954, 35514911 req, miss ratio 0.3305, byte miss ratio 0.3305
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    17863, 35514911 req, miss ratio 0.1851, byte miss ratio 0.1851
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    59545, 35514911 req, miss ratio 0.1015, byte miss ratio 0.1015
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   119090, 35514911 req, miss ratio 0.0598, byte miss ratio 0.0598
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   238181, 35514911 req, miss ratio 0.0298, byte miss ratio 0.0298
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   476362, 35514911 req, miss ratio 0.0179, byte miss ratio 0.0179
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      595, 35514911 req, miss ratio 0.3636, byte miss ratio 0.3636
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1786, 35514911 req, miss ratio 0.2437, byte miss ratio 0.2437
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5954, 35514911 req, miss ratio 0.1791, byte miss ratio 0.1791
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    17863, 35514911 req, miss ratio 0.1200, byte miss ratio 0.1200
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    59545, 35514911 req, miss ratio 0.0665, byte miss ratio 0.0665
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   119090, 35514911 req, miss ratio 0.0453, byte miss ratio 0.0453
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   238181, 35514911 req, miss ratio 0.0282, byte miss ratio 0.0282
result/user_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   476362, 35514911 req, miss ratio 0.0187, byte miss ratio 0.0187
