w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3347, byte miss ratio 0.3347
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2166, byte miss ratio 0.2166
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7681, byte miss ratio 0.7681
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7509, byte miss ratio 0.7509
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7235, byte miss ratio 0.7235
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   110711, 20776392 req, miss ratio 0.6988, byte miss ratio 0.6988
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6664, byte miss ratio 0.6664
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   738079, 20776392 req, miss ratio 0.5163, byte miss ratio 0.5163
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3828, byte miss ratio 0.3828
w32.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2542, byte miss ratio 0.2542
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     3690, 20776392 req, miss ratio 0.7716, byte miss ratio 0.7716
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    11071, 20776392 req, miss ratio 0.7496, byte miss ratio 0.7496
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    36903, 20776392 req, miss ratio 0.7185, byte miss ratio 0.7185
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   110711, 20776392 req, miss ratio 0.6889, byte miss ratio 0.6889
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   369039, 20776392 req, miss ratio 0.6573, byte miss ratio 0.6573
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   738079, 20776392 req, miss ratio 0.5140, byte miss ratio 0.5140
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3715, byte miss ratio 0.3715
w32.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2426, byte miss ratio 0.2426
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     3690, 20776392 req, miss ratio 0.7687, byte miss ratio 0.7687
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    11071, 20776392 req, miss ratio 0.7518, byte miss ratio 0.7518
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    36903, 20776392 req, miss ratio 0.7261, byte miss ratio 0.7261
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   110711, 20776392 req, miss ratio 0.7053, byte miss ratio 0.7053
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   369039, 20776392 req, miss ratio 0.6581, byte miss ratio 0.6581
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   738079, 20776392 req, miss ratio 0.5241, byte miss ratio 0.5241
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3905, byte miss ratio 0.3905
w32.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2675, byte miss ratio 0.2675
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7684, byte miss ratio 0.7684
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7516, byte miss ratio 0.7516
