prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size      711, 5585886 req, miss ratio 0.3738, byte miss ratio 0.3738
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size     2134, 5585886 req, miss ratio 0.3430, byte miss ratio 0.3430
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size     7113, 5585886 req, miss ratio 0.3196, byte miss ratio 0.3196
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size    21341, 5585886 req, miss ratio 0.2872, byte miss ratio 0.2872
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size    71138, 5585886 req, miss ratio 0.2213, byte miss ratio 0.2213
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size   142277, 5585886 req, miss ratio 0.1817, byte miss ratio 0.1817
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size   284554, 5585886 req, miss ratio 0.1449, byte miss ratio 0.1449
prn_0.IQI.bin S3FIFO-0.4000-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size      711, 5585886 req, miss ratio 0.3761, byte miss ratio 0.3761
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3446, byte miss ratio 0.3446
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3220, byte miss ratio 0.3220
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size    21341, 5585886 req, miss ratio 0.2913, byte miss ratio 0.2913
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2254, byte miss ratio 0.2254
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1847, byte miss ratio 0.1847
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1417, byte miss ratio 0.1417
prn_0.IQI.bin S3FIFO-0.5500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1292, byte miss ratio 0.1292
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size      711, 5585886 req, miss ratio 1.0000, byte miss ratio 1.0000
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size     2134, 5585886 req, miss ratio 0.3905, byte miss ratio 0.3905
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size     7113, 5585886 req, miss ratio 0.3330, byte miss ratio 0.3330
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size    21341, 5585886 req, miss ratio 0.2888, byte miss ratio 0.2888
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size    71138, 5585886 req, miss ratio 0.2178, byte miss ratio 0.2178
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size   142277, 5585886 req, miss ratio 0.1777, byte miss ratio 0.1777
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size   284554, 5585886 req, miss ratio 0.1372, byte miss ratio 0.1372
prn_0.IQI.bin S3FIFO-0.0010-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size      711, 5585886 req, miss ratio 0.3741, byte miss ratio 0.3741
