cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size   139870, 32126732 req, miss ratio 0.0981, byte miss ratio 0.0981
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0710, byte miss ratio 0.0710
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0527, byte miss ratio 0.0527
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size     1398, 32126732 req, miss ratio 0.6772, byte miss ratio 0.6772
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size     4196, 32126732 req, miss ratio 0.4540, byte miss ratio 0.4540
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size    13987, 32126732 req, miss ratio 0.2549, byte miss ratio 0.2549
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size    41961, 32126732 req, miss ratio 0.1617, byte miss ratio 0.1617
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size   139870, 32126732 req, miss ratio 0.0951, byte miss ratio 0.0951
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0691, byte miss ratio 0.0691
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.1500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size     1398, 32126732 req, miss ratio 0.6644, byte miss ratio 0.6644
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size     4196, 32126732 req, miss ratio 0.4412, byte miss ratio 0.4412
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size    13987, 32126732 req, miss ratio 0.2595, byte miss ratio 0.2595
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size    41961, 32126732 req, miss ratio 0.1707, byte miss ratio 0.1707
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size   139870, 32126732 req, miss ratio 0.0978, byte miss ratio 0.0978
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size   279740, 32126732 req, miss ratio 0.0702, byte miss ratio 0.0702
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size   559480, 32126732 req, miss ratio 0.0527, byte miss ratio 0.0527
cdn1_colo28.ns241 S3FIFO-0.0100-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size     1398, 32126732 req, miss ratio 0.7370, byte miss ratio 0.7370
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size     4196, 32126732 req, miss ratio 0.5186, byte miss ratio 0.5186
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size    13987, 32126732 req, miss ratio 0.2817, byte miss ratio 0.2817
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size    41961, 32126732 req, miss ratio 0.1693, byte miss ratio 0.1693
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size   139870, 32126732 req, miss ratio 0.1052, byte miss ratio 0.1052
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0758, byte miss ratio 0.0758
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0547, byte miss ratio 0.0547
cdn1_colo28.ns241 S3FIFO-0.5500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size     1398, 32126732 req, miss ratio 0.7707, byte miss ratio 0.7707
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size     4196, 32126732 req, miss ratio 0.5577, byte miss ratio 0.5577
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size    13987, 32126732 req, miss ratio 0.3077, byte miss ratio 0.3077
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size    41961, 32126732 req, miss ratio 0.1804, byte miss ratio 0.1804
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size   139870, 32126732 req, miss ratio 0.1123, byte miss ratio 0.1123
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0814, byte miss ratio 0.0814
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0578, byte miss ratio 0.0578
cdn1_colo28.ns241 S3FIFO-0.7500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_colo28.ns241 S3FIFO-0.3500-1.9000 cache size     1398, 32126732 req, miss ratio 0.7054, byte miss ratio 0.7054
cdn1_colo28.ns241 S3FIFO-0.3500-1.9000 cache size     4196, 32126732 req, miss ratio 0.4832, byte miss ratio 0.4832
cdn1_colo28.ns241 S3FIFO-0.3500-1.9000 cache size    13987, 32126732 req, miss ratio 0.2644, byte miss ratio 0.2644
