cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0934, byte miss ratio 0.0934
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0918, byte miss ratio 0.0918
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    16553, 182558107 req, miss ratio 0.1431, byte miss ratio 0.1431
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    49660, 182558107 req, miss ratio 0.1244, byte miss ratio 0.1244
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   165535, 182558107 req, miss ratio 0.1089, byte miss ratio 0.1089
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   496607, 182558107 req, miss ratio 0.0995, byte miss ratio 0.0995
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0936, byte miss ratio 0.0936
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0919, byte miss ratio 0.0919
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    16553, 182558107 req, miss ratio 0.1442, byte miss ratio 0.1442
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    49660, 182558107 req, miss ratio 0.1254, byte miss ratio 0.1254
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   165535, 182558107 req, miss ratio 0.1096, byte miss ratio 0.1096
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   496607, 182558107 req, miss ratio 0.1000, byte miss ratio 0.1000
