cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size      245, 1019593 req, miss ratio 0.0194, byte miss ratio 0.0194
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size      818, 1019593 req, miss ratio 0.0133, byte miss ratio 0.0133
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size     1637, 1019593 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size     3274, 1019593 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size     6548, 1019593 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size        8, 1019593 req, miss ratio 0.0498, byte miss ratio 0.0498
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size       24, 1019593 req, miss ratio 0.0362, byte miss ratio 0.0362
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size       81, 1019593 req, miss ratio 0.0234, byte miss ratio 0.0234
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size      245, 1019593 req, miss ratio 0.0169, byte miss ratio 0.0169
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size      818, 1019593 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size     1637, 1019593 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size     3274, 1019593 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns5367 S3FIFO-0.4500-0.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size        8, 1019593 req, miss ratio 0.0495, byte miss ratio 0.0495
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size       24, 1019593 req, miss ratio 0.0344, byte miss ratio 0.0344
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size       81, 1019593 req, miss ratio 0.0221, byte miss ratio 0.0221
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size      245, 1019593 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size      818, 1019593 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns5367 S3FIFO-0.2000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size        8, 1019593 req, miss ratio 0.0574, byte miss ratio 0.0574
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size       24, 1019593 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size       81, 1019593 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size      245, 1019593 req, miss ratio 0.0197, byte miss ratio 0.0197
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size      818, 1019593 req, miss ratio 0.0135, byte miss ratio 0.0135
