w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3334, byte miss ratio 0.3334
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2562, byte miss ratio 0.2562
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5617, byte miss ratio 0.5617
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5057, byte miss ratio 0.5057
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4698, byte miss ratio 0.4698
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4339, byte miss ratio 0.4339
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4129, byte miss ratio 0.4129
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3851, byte miss ratio 0.3851
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2915, byte miss ratio 0.2915
w04.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    18753, 77764582 req, miss ratio 0.5746, byte miss ratio 0.5746
w04.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    56260, 77764582 req, miss ratio 0.5194, byte miss ratio 0.5194
w04.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   187533, 77764582 req, miss ratio 0.4769, byte miss ratio 0.4769
