cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   165985, 210458880 req, miss ratio 0.1430, byte miss ratio 0.1430
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   497957, 210458880 req, miss ratio 0.1162, byte miss ratio 0.1162
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0959, byte miss ratio 0.0959
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0871, byte miss ratio 0.0871
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0817, byte miss ratio 0.0817
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    16598, 210458880 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    49795, 210458880 req, miss ratio 0.1618, byte miss ratio 0.1618
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   165985, 210458880 req, miss ratio 0.1302, byte miss ratio 0.1302
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   497957, 210458880 req, miss ratio 0.1071, byte miss ratio 0.1071
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0900, byte miss ratio 0.0900
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0848, byte miss ratio 0.0848
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0816, byte miss ratio 0.0816
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    16598, 210458880 req, miss ratio 0.2348, byte miss ratio 0.2348
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    49795, 210458880 req, miss ratio 0.1883, byte miss ratio 0.1883
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   165985, 210458880 req, miss ratio 0.1470, byte miss ratio 0.1470
