cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size      501, 612199280 req, miss ratio 0.3105, byte miss ratio 0.3105
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     1504, 612199280 req, miss ratio 0.1926, byte miss ratio 0.1926
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     5016, 612199280 req, miss ratio 0.0889, byte miss ratio 0.0889
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    15048, 612199280 req, miss ratio 0.0279, byte miss ratio 0.0279
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    50160, 612199280 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   100320, 612199280 req, miss ratio 0.0019, byte miss ratio 0.0019
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   200640, 612199280 req, miss ratio 0.0010, byte miss ratio 0.0010
cluster51.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size      501, 612199280 req, miss ratio 0.2989, byte miss ratio 0.2989
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     1504, 612199280 req, miss ratio 0.1850, byte miss ratio 0.1850
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     5016, 612199280 req, miss ratio 0.0853, byte miss ratio 0.0853
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    15048, 612199280 req, miss ratio 0.0263, byte miss ratio 0.0263
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    50160, 612199280 req, miss ratio 0.0050, byte miss ratio 0.0050
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   100320, 612199280 req, miss ratio 0.0018, byte miss ratio 0.0018
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size      501, 612199280 req, miss ratio 0.2618, byte miss ratio 0.2618
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     1504, 612199280 req, miss ratio 0.1579, byte miss ratio 0.1579
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     5016, 612199280 req, miss ratio 0.0709, byte miss ratio 0.0709
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    15048, 612199280 req, miss ratio 0.0204, byte miss ratio 0.0204
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    50160, 612199280 req, miss ratio 0.0038, byte miss ratio 0.0038
