botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   192061, 958624046 req, miss ratio 0.2838, byte miss ratio 0.2838
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   576183, 958624046 req, miss ratio 0.2604, byte miss ratio 0.2604
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2395, byte miss ratio 0.2395
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2248, byte miss ratio 0.2248
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2138, byte miss ratio 0.2138
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2069, byte miss ratio 0.2069
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2035, byte miss ratio 0.2035
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2013, byte miss ratio 0.2013
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   192061, 958624046 req, miss ratio 0.2755, byte miss ratio 0.2755
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   576183, 958624046 req, miss ratio 0.2538, byte miss ratio 0.2538
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2331, byte miss ratio 0.2331
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2199, byte miss ratio 0.2199
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2101, byte miss ratio 0.2101
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2043, byte miss ratio 0.2043
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2025, byte miss ratio 0.2025
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2744, byte miss ratio 0.2744
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2529, byte miss ratio 0.2529
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2323, byte miss ratio 0.2323
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2193, byte miss ratio 0.2193
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2097, byte miss ratio 0.2097
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2041, byte miss ratio 0.2041
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2024, byte miss ratio 0.2024
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   192061, 958624046 req, miss ratio 0.2663, byte miss ratio 0.2663
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   576183, 958624046 req, miss ratio 0.2441, byte miss ratio 0.2441
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2244, byte miss ratio 0.2244
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2134, byte miss ratio 0.2134
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2065, byte miss ratio 0.2065
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2031, byte miss ratio 0.2031
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   192061, 958624046 req, miss ratio 0.2807, byte miss ratio 0.2807
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   576183, 958624046 req, miss ratio 0.2579, byte miss ratio 0.2579
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2373, byte miss ratio 0.2373
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2228, byte miss ratio 0.2228
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2124, byte miss ratio 0.2124
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2057, byte miss ratio 0.2057
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2030, byte miss ratio 0.2030
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2793, byte miss ratio 0.2793
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2568, byte miss ratio 0.2568
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2362, byte miss ratio 0.2362
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2219, byte miss ratio 0.2219
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2117, byte miss ratio 0.2117
